Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:08.80	Charlotte Hook		18	200 FL LCM	NC	TAC Titans	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
2	2:09.83	Justina Kozan	Yes	18	200 FL LCM	US	Unattached	2022 IN Spring Speedo Sectionals	2023 Summer Nationals (LCM)
3	2:10.71	Summer Smith		18	200 FL LCM	SE	University Of Tennessee	2022 SE Tennessee LC Invitational	2023 Summer Nationals (LCM)
4	2:11.53	Katie Crom		18	200 FL LCM	CA	Mission Viejo Nadadores	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
5	2:13.16	Casey Cullen		18	200 FL LCM	MA	Plymouth Whitemarsh Aquatics	2022 Futures - Geneva	2023 Summer Nationals (LCM)
6	2:13.19	Katie Forrester	Yes	18	200 FL LCM	US	Unattached	Mel Zajac Jr. International 20	2022 Summer Nationals (LCM)
7	2:13.26	Sara Stotler		18	200 FL LCM	SE	University Of Tennessee	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
8	2:13.38	Jordan Agliano		18	200 FL LCM	FL	Highlander Aquatic Club	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
9	2:13.61	Lockett Bowley		18	200 FL LCM	FL	Blue Dolfins	2022 FL SZ South Sectionals Championships	2023 Summer Nationals (LCM)
10	2:13.95	Zoe Dixon		18	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2023 Summer Nationals (LCM)
11	2:14.34	Nina Mollin		18	200 FL LCM	IL	Academy Bullets Swim Club	2022 Jr Pan Pacific Swimming Championships	2022 Winter US Open (LCM)
12	2:14.52	Kyleigh Tankard		18	200 FL LCM	VA	Coast Guard Blue Dolphins	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
13	2:14.75	Martina Peroni		18	200 FL LCM	OHO	New Albany Aquatic Club	2022 LE Speedo Summer Sectionals	2022 Winter US Open (LCM)
14	2:15.45	Delaney Harrison		18	200 FL LCM	GA	Chattahoochee Gold Swim Club	2022 Futures - Cary	2022 Winter US Open (LCM)
15	2:15.69	Natalie Mannion		18	200 FL LCM	NE	Commonwealth Swimming	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Winter US Open (LCM)
16	2:16.00	Lucy Malys		18	200 FL LCM	MI	OLY Swimming	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
17	2:16.26	Jordan Durocher		18	200 FL LCM	PV	Nation's Capital Swim Club	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
18	2:16.31	Ashley Kolessar		18	200 FL LCM	MA	Suburban Seahawks Club	2022 IN NCSA Summer Swimming Championships	2022 Winter US Open (LCM)
19	2:16.33	Joy Jiang		18	200 FL LCM	MR	Badger Swim Club,Inc.	2022 MR TYR Senior LC Championships	2022 Winter US Open (LCM)
20	2:16.55	Cat Minic	Yes	18	200 FL LCM	IN	Indiana Swim Club	2022 IN Senior LCM Championships	2022 Summer Juniors (LCM)
21	2:16.64	Katie White		18	200 FL LCM	NE	Bluefish Swim Club	2022 NE BGSC LCM Seniors	2022 Summer Juniors (LCM)
22	2:16.75	Sumner Chmielewski		18	200 FL LCM	FL	Sarasota Tsunami Swim Team	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
23	2:16.76	Sophie Duncan		18	200 FL LCM	PV	Unattached	2022 PV Maryland State LC Championships	2022 Summer Juniors (LCM)
24	2:17.17	Sydney Lu		18	200 FL LCM	PC	Pleasanton Seahawks	2022 Phillips 66 Summer Nationals	2022 Winter Juniors (SCY)
25	2:17.28	Kate Bailey		18	200 FL LCM	AM	University of Pittsburgh	2022 LE Futures Championships Geneva	2022 Winter Juniors (SCY)
26	2:17.32	Nicole Ranile		18	200 FL LCM	MA	Germantown Academy Aquatic Club	2022 IN NCSA Summer Swimming Championships	2022 Winter Juniors (SCY)
27	2:17.37	Ella Myers		18	200 FL LCM	PV	Nation's Capital Swim Club	2022 PV NCAP Elite Qualifier	2022 Winter Juniors (SCY)
28	2:17.68	Kaley Ream		18	200 FL LCM	LE	Lake Erie Silver Dolphins	2022 LE Speedo Summer Sectionals	2022 Winter Juniors (SCY)
29	2:17.88	Ella Jo Piersma		18	200 FL LCM	OHO	Mason Manta Rays	2022 TT Speedo Junior National Ch	2022 Winter Juniors (SCY)
29	2:17.88	Julia Meisner		18	200 FL LCM	NJ	Greater Somerset County YMCA Storm	2022 NJ EEX JS Mace Memorial Summer Sizzle	2022 Winter Juniors (SCY)
31	2:18.20	Fay Lustria		18	200 FL LCM	OR	Lake Oswego Swim Club	2022 OR Speedo Sectionals - Mt Hood	2022 Winter Juniors (SCY)
32	2:18.46	Ella Flowers		18	200 FL LCM	GU	Rice Aquatics	2022 Speedo Junior National Ch	2023 Futures (LCM)
33	2:18.51	Jillian Wilson		18	200 FL LCM	IL	Academy Bullets Swim Club	2022 IN NCSA Summer Swimming Championships2	2023 Futures (LCM)
34	2:19.01	Sydney Craft		18	200 FL LCM	PV	Nation's Capital Swim Club	2022 IN NCSA Summer Swimming Championship	2023 Futures (LCM)
35	2:19.26	Heidi Smithwick		18	200 FL LCM	FG	Jupiter Dragons Swim Team	2022 FL SZ South Sectionals Championships	2022 Futures (LCM)
36	2:19.38	Jessica Eden		18	200 FL LCM	LE	Lake Erie Silver Dolphins	2022 LE Speedo Summer Sectionals	2023 Futures (LCM)
37	2:19.49	Alexis Wendel		18	200 FL LCM	IL	NASA Wildcat Aquatics	2022 MN Futures Championships Minnesota	2023 Futures (LCM)
38	2:19.70	Sabrina Bennani		18	200 FL LCM	CA	La Mirada Armada	2022 Futures - Santa Clara	2023 Futures (LCM)
39	2:19.74	Haley Halsall		18	200 FL LCM	IL	Woodstock Dolphins Swim Team	2022 MN Futures Championships Minnesota	2023 Futures (LCM)
40	2:20.43	Breckin Gormley	Yes	18	200 FL LCM	VA	Unattached	Mel Zajac Jr. International 20	2023 Futures (LCM)
41	2:20.50	Ellie Fritscher		18	200 FL LCM	LA	Franco's Fins	2022 LA Senior LC State Championships	2023 Futures (LCM)
42	2:20.55	Arielle Hayon	Yes	18	200 FL LCM	GU	Rice Aquatics	2022 Speedo Junior National Ch	2023 Futures (LCM)
43	2:20.69	Erin Langenburg		18	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA NOVA Senior Classic	2022 Futures (LCM)
44	2:20.73	Morgan Gore		18	200 FL LCM	SN	Sierra Marlins Swim Team	2022 PC SCSC Super League Summer LC Finals	2023 Futures (LCM)
45	2:20.88	Gaby Robles Cortes	Yes	18	200 FL LCM	FG	Azura Florida Aquatics	2022 FG Senior Championships	2023 Futures (LCM)
46	2:20.95	Olivia Stevenson		18	200 FL LCM	SN	California Gold	2022 SN Summer CA-NV Sectional-CC	2023 Futures (LCM)
47	2:20.99	Grace Monahan		18	200 FL LCM	HI	Kamehameha Swim Club	2022 HI Oahu ABC Meet	2022 Futures (LCM)
48	2:21.03	Abby Daniel		18	200 FL LCM	LE	Firestone Akron Swim Team	2022 LE FAST Invite	2022 Futures (LCM)
49	2:21.38	Alexis Martino		18	200 FL LCM	NE	Phoenix Swimming	2022 NE BGSC LCM Seniors	2023 Futures (LCM)
49	2:21.38	Avery Spade		18	200 FL LCM	AZ	Tucson Ford Dealers Aquatics	2022 AZ LC Senior State Championship	2023 Futures (LCM)
51	2:21.51	Katie Cho		18	200 FL LCM	CA	Unattached	2021 Toyota US Open Championship	2022 Futures (LCM)
52	2:21.55	Gabby Puryear-Lynch		18	200 FL LCM	FL	Blue Dolfins	2022 NC Futures Championships Cary	2023 Futures (LCM)
53	2:21.57	Katherine Sammy		18	200 FL LCM	FL	Gator Swim Club	2022 NC Futures Championships Cary	2023 Futures (LCM)
54	2:21.58	Mackenzie Brandt		18	200 FL LCM	MA	Suburban Seahawks Club	2022 NJ BAC Memorial Day Invitational	2022 Futures (LCM)
54	2:21.58	Emma Weber		18	200 FL LCM	CO	Univ of Denver Hilltoppers	Time Trials - Intl Team Trials	2022 Futures (LCM)
56	2:21.68	Sydney Even		18	200 FL LCM	AZ	Tucson Ford Dealers Aquatics	2022 OR Speedo Sectionals - Mt Hood	2022 Futures (LCM)
57	2:21.71	Sterling Burd		18	200 FL LCM	SC	Hilton Head Aquatics	2022 SC LSC Senior State Champs	2023 Futures (LCM)
58	2:21.78	Faith Johnson		18	200 FL LCM	WI	Rocket Aquatics	2022 WI 13 & O LC State Meet	2023 Futures (LCM)
59	2:21.81	Simone Sapico		18	200 FL LCM	SN	California Capital Aquatics	2022 SN Summer CA-NV Sectional-CC	2023 Futures (LCM)
59	2:21.81	Lauren Malinowski		18	200 FL LCM	WI	Waukesha Express Swim Team	2022 WI 13 & O LC State Meet	2023 Futures (LCM)
61	2:21.87	Hayley Reed		18	200 FL LCM	IN	Carmel Swim Club	2022 IN Spring Speedo Sectionals	2022 Futures (LCM)
62	2:21.92	Grace Drabot		18	200 FL LCM	WI	Ozaukee Aquatics	2022 WI 13 & O LC State Meet	2020-2024 AAA
63	2:22.13	Olivia Yoo		18	200 FL LCM	MI	Grosse Pointe Gators	2022 Futures - Cary	2020-2024 AAA
63	2:22.13	Zoe Winter		18	200 FL LCM	MV	Wichita Aqua Shocks	2022 MV Region VIII Speedo Summer Meet	2020-2024 AAA
65	2:22.20	Katherine Randall		18	200 FL LCM	MN	Riptide	2022 MN USAS Speedo Meet	2020-2024 AAA
66	2:22.33	Brinly Hardy		18	200 FL LCM	KY	Lakeside Swim Team	2022 NC ESSZ Summer Sectionals	2020-2024 AAA
67	2:22.34	Eliza Brown		18	200 FL LCM	NE	Commonwealth Swimming	2022 NJ EEX JS Mace Memorial Summer Sizzle	2020-2024 AAA
68	2:22.43	Kennedy Noble		18	200 FL LCM	AZ	Phoenix Swim Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
69	2:22.47	Angelina Baker		18	200 FL LCM	MI	Greater Kalamazoo Crocs	2022 LE Speedo Summer Sectionals	2020-2024 AAA
70	2:22.48	Leslie Wendel		18	200 FL LCM	IL	NASA Wildcat Aquatics	2022 WI LAKE Western Great Lake Meet	2020-2024 AAA
71	2:22.52	Anne Deedy		18	200 FL LCM	MV	Empire KC Swim Club	2022 MN AQJT Aquajets Summer Invite	2020-2024 AAA
72	2:22.57	Lindy Bilden		18	200 FL LCM	NC	North Carolina Aquatic Club	2022 NC ESSZ Summer Sectionals	2020-2024 AAA
73	2:22.65	Maren Romine		18	200 FL LCM	ST	Alamo Area Aquatic Association	2022 Futures Championships College Station	2020-2024 AAA
74	2:22.74	Kylee Sullivan		18	200 FL LCM	OZ	Parkway Swim Club	2022 Futures - Minneapolis	2020-2024 AAA
75	2:22.87	Megan McGrath		18	200 FL LCM	FL	Bolles School Sharks	2022 FL SZ South Sectionals Championships	2020-2024 AAA
76	2:22.99	Mady Bachmeier		18	200 FL LCM	AZ	Scottsdale Aquatic Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
77	2:23.00	Amber Harris		18	200 FL LCM	CA	Riverside Aquatics Association	2022 CA SCS/NOVA June Age Group	2020-2024 AAA
78	2:23.01	Lily Codd		18	200 FL LCM	CT	Chelsea Piers Aquatic Club	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
79	2:23.09	Anna Moehn		18	200 FL LCM	OZ	CSP Tideriders	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
80	2:23.14	Olivia Dellatorre		18	200 FL LCM	GA	Athens Bulldog Swim Club	2022 GA Bulldog Summer Invite	2020-2024 AAA
81	2:23.24	Abbey Gardner		18	200 FL LCM	CT	Wilton Y Wahoos Swim Club	2022 NC AP LC YMCA Nationals	2020-2024 AAA
82	2:23.28	Quinlan Hinerfeld		18	200 FL LCM	CO	Fort Collins Area Swim Team	2022 GU Futures TT - College Station	2020-2024 AAA
83	2:23.30	Karen Austin		18	200 FL LCM	MI	Atlantis Swimming	2022 IN NCSA Summer Swimming Championships2	2020-2024 AAA
84	2:23.31	Ella Hacker		18	200 FL LCM	MN	Edina Swim Club	2022 Futures - Minneapolis	2020-2024 AAA
85	2:23.43	Mackenzie Lanning		18	200 FL LCM	KY	Lakeside Swim Team	2022 NC ESSZ Summer Sectionals	2020-2024 AAA
86	2:23.49	Emilee Hamblin		18	200 FL LCM	NC	Mecklenburg Swim Association	2022 NC LC SR CHAMPS	2020-2024 AAA
87	2:23.50	Kirsti McEnroe		18	200 FL LCM	SC	Y-Spartaquatics Swim Club	2022 SC YSSC 19th Annual LC	2020-2024 AAA
88	2:23.52	Stella Todd		18	200 FL LCM	NT	COR Swimming	2022 GU Texas Senior Circuit 3	2020-2024 AAA
89	2:23.61	Emma Stolberg		18	200 FL LCM	NC	SwimMAC Carolina	2022 Speedo Junior National Ch	2020-2024 AAA
90	2:23.73	Chloe Song		18	200 FL LCM	NE	Greenwood Swimming	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
91	2:23.84	Carly Novelline		18	200 FL LCM	IL	NASA Wildcat Aquatics	2022 WI MAC Summer Challenge	2020-2024 AAA
92	2:23.92	Clara Laskey		18	200 FL LCM	SN	Wolverine Aquatics	2022 SN Summer Sanders LCM SR+	2020-2024 AAA
93	2:23.95	Mia Hensley		18	200 FL LCM	OHO	Lancaster YMCA Swim Team	2022 NC AP LC YMCA Nationals	2020-2024 AAA
94	2:24.14	Bailey Rynkiewicz		18	200 FL LCM	NJ	Lakeland Hills YMCA	2022 NC AP LC YMCA Nationals	2020-2024 AAA
95	2:24.32	Victoria Novinskiy		18	200 FL LCM	NE	Executive Swim Club	2022 NE SOLO-Seacoast Jenny Thompson	2020-2024 AAA
96	2:24.40	Lauren Klinefelter		18	200 FL LCM	OHO	New Albany Aquatic Club	2022 LE Speedo Summer Sectionals	2020-2024 AAA
97	2:24.47	Isabelle Meraz		18	200 FL LCM	SN	DART Swimming	2022 CC Arena Grand Challenge	2020-2024 AAA
98	2:24.52	Addisyn Donfris		18	200 FL LCM	IL	Barrington Swim Club	2022 WI Central Zone Section 1	2020-2024 AAA
99	2:24.55	Gracie O'Connell		18	200 FL LCM	NE	Crimson Aquatics	2022 NE SOLO-Seacoast Jenny Thompson	2020-2024 AAA
100	2:24.56	Stephanie Sifferman		18	200 FL LCM	PC	Santa Clara Swim Club	2022 PC SCSC Futures West	2020-2024 AAA
101	2:24.72	Emma Schott		18	200 FL LCM	PC	Lakeridge Swim Team	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
102	2:24.74	Hanani Dona		18	200 FL LCM	NC	SwimMAC Carolina	2022 IN Spring Speedo Sectionals	2020-2024 AAA
103	2:24.76	Nina Fearon		18	200 FL LCM	PC	Alto Swim Club	2022 SN Summer CA-NV Sectional-CC	2020-2024 AAA
104	2:24.77	Giulianna Garcia		18	200 FL LCM	FG	TS Aquatics	2022 FG Senior Championships	2020-2024 AAA
105	2:24.80	Anna Vermeulen		18	200 FL LCM	CO	Jeffco Hurricanes	2022 GU Futures TT - College Station	2020-2024 AAA
105	2:24.80	Quinn Brown		18	200 FL LCM	OR	Lake Oswego Swim Club	2022 AZ SAC Cactus Classic	2020-2024 AAA
107	2:24.99	Colette Masino		18	200 FL LCM	CA	Canyons Aquatic Club	2022 CA CA-NV Speedo Sectionals at CANY	2020-2024 AAA
108	2:25.09	Mairin Ludwig		18	200 FL LCM	MD	North Baltimore Aquatic Club	2022 MD LSC LC Championships	2020-2024 AAA
109	2:25.22	Maddy Hartley		18	200 FL LCM	VA	Tide Swimming	2022 Speedo Junior National Ch	2020-2024 AAA
110	2:25.24	Sandy Li		18	200 FL LCM	PN	Bellevue Club Swim Team	2022 PN Senior Long Course Champs	2020-2024 AAA
110	2:25.24	Tess Peny		18	200 FL LCM	PV	Occoquan Swimming Inc	2022 VA EZ LC Speedo Super Sectional	2020-2024 AAA
112	2:25.27	Sabrina Conrad		18	200 FL LCM	MR	Rivertown Aquatics	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
113	2:25.34	Hayley Clark		18	200 FL LCM	NC	North Carolina Aquatic Club	2022 NC NCAC Quad Meet	2020-2024 AAA
114	2:25.46	Emma McNulty		18	200 FL LCM	MR	Long Island Aquatic Club	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
115	2:25.47	Karsen Pena		18	200 FL LCM	NC	Marlins Of Raleigh	2022 NC Futures Championships Cary	2020-2024 AAA
116	2:25.57	Abigail Hardy		18	200 FL LCM	ST	Nitro Swimming	2022 ST TXLA 11& Over End of Splash	2020-2024 AAA
117	2:25.59	Audrey Soetanto		18	200 FL LCM	MN	Aquajets Swim Team	2022 MN MNSI Senior State	2020-2024 AAA
118	2:25.62	Molly Haag		18	200 FL LCM	WI	Verona Area Swim Team	2022 WI SSTY BIG CHEESE	2020-2024 AAA
119	2:25.68	Sophia Karras		18	200 FL LCM	MR	Long Island Aquatic Club	2022 MR LIAC Summertime Classic Invitational	2020-2024 AAA
119	2:25.68	Hannah Trainer		18	200 FL LCM	OR	Tualatin Hills Swim Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
121	2:25.69	Grace Gardner		18	200 FL LCM	CO	Highlands Ranch Aquatics	2022 AZ SAC Cactus Classic	2020-2024 AAA
122	2:25.71	Niamh Kastner		18	200 FL LCM	VA	757 Swim	2022 VA Virginia Commonwealth	2020-2024 AAA
123	2:25.77	Gracie Sweeney		18	200 FL LCM	CT	Bulldog Swimming	2022 FL ISCA Summer Senior Blast	2020-2024 AAA
124	2:25.90	Abigail Herscu		18	200 FL LCM	PC	Livermore Aqua Cowboys	2022 SN Summer CA-NV Sectional-CC	2020-2024 AAA
125	2:25.92	Ella Martinez		18	200 FL LCM	FG	Saint Andrew's Aquatics	2022 FG Gulliver Senior Invitational	2020-2024 AAA
125	2:25.92	Cynthia Huang		18	200 FL LCM	VA	Quest Swimming	2022 VA SwimRVA Summer Invitational	2020-2024 AAA
127	2:25.97	Hayden Cutler		18	200 FL LCM	PC	Burlingame Aquatic Club	2022 SN Summer CA-NV Sectional-CC	2020-2024 AAA
128	2:26.01	Avery Spencer		18	200 FL LCM	AR	Razorback Aquatic Club Aquahawgs	2022 MV Region VIII Speedo Summer Meet	2020-2024 AAA
129	2:26.03	Annie Andres		18	200 FL LCM	IL	FMC Aquatic	2022 IN NASA Summer Invitational	2020-2024 AAA
130	2:26.05	Emily Xu		18	200 FL LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2020-2024 AAA
131	2:26.13	Payton Baxter		18	200 FL LCM	OHO	Cincinnati Aquatic Club	2022 OH CM TYR Sport Summer Cl	2020-2024 AAA
132	2:26.21	Kayla Wilson		18	200 FL LCM	VA	Tide Swimming	2022 VA TIDE Schools Out Classic	2020-2024 AAA
133	2:26.28	Sarah Arpag		18	200 FL LCM	OR	Hood River Valley Swim Team	2022 OR Arena 11&O LC Championship	2020-2024 AAA
134	2:26.31	Mckaylie Sullivan		18	200 FL LCM	MA	Unattached	2022 WV Club Mountaineer Renee McCutch Meet	2020-2024 AAA
135	2:26.39	Elaina Plonis		18	200 FL LCM	MI	Utica Shelby Swim Club	2022 LE Speedo Summer Sectionals	2020-2024 AAA
136	2:26.41	Jessie Powell		18	200 FL LCM	GU	Cypress Fairbanks Swim Club	2022 Futures Championships - C	2020-2024 AAA
137	2:26.53	Teagan Steinmetz		18	200 FL LCM	CO	Denver Swim Academy	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
138	2:26.54	Georgia Romstead		18	200 FL LCM	CA	Boulder City Henderson Swim Team	2022-NT American Long Course Meet	2020-2024 AAA
139	2:26.59	Stephanie Flores		18	200 FL LCM	AZ	Scottsdale Aquatic Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AAA
140	2:26.61	Annie Gathof		18	200 FL LCM	IL	NWDupage YMCA / B.R. Ryall S T	2022-NT American Long Course Meet	2020-2024 AAA
141	2:26.67	Payton Smith		18	200 FL LCM	GA	Chattahoochee Gold Swim Club	2022 GA LC Senior State Championship	2020-2024 AAA
142	2:26.70	Ruby Groves		18	200 FL LCM	NE	Gator Swim Club	2022 NE BGSC LCM Seniors	2020-2024 AA
142	2:26.70	Adriana Roldan	Yes	18	200 FL LCM	FG	Gulliver Swim Club	2022 Futures - Cary	2020-2024 AA
144	2:26.71	Lilly Grebner		18	200 FL LCM	SD	Aberdeen Swim Club	2022 WI Central Zone Section 1	2020-2024 AA
144	2:26.71	Kendal Chunn		18	200 FL LCM	SC	South Carolina Swim Club	2022 SC SCSC MOCS May Flowers	2020-2024 AA
146	2:26.88	Caitlin Deitch		18	200 FL LCM	MD	Naval Academy Aquatic Club	2022 FL ISCA Summer Senior Blast	2020-2024 AA
147	2:26.89	Kiara Anchrum		18	200 FL LCM	OHO	Mason Manta Rays	2021 Time Trials -Toyota US Open	2020-2024 AA
148	2:26.90	Brooklyn Douthwright	Yes	18	200 FL LCM	SE	Unattached	2022 SE TNAQ May Meet	2020-2024 AA
149	2:26.92	Nicole Frank-Rodriguez	Yes	18	200 FL LCM	FG	Azura Florida Aquatics	2022 FG Jesse Vassallo Invitational	2020-2024 AA
150	2:27.02	Emily Szopa		18	200 FL LCM	NJ	Greater Somerset County YMCA Storm	2022 NJ SCAR LC Junior Olympics	2020-2024 AA
151	2:27.04	Joann Adler		18	200 FL LCM	GU	Unattached	2022 PC VJO C/B/A+	2020-2024 AA
151	2:27.04	Fatima Portillo	Yes	18	200 FL LCM	FG	Azura Florida Aquatics	2022 FG Piranhas Senior Invitational	2020-2024 AA
153	2:27.05	MaKayla Ciancanelli		18	200 FL LCM	NC	Marlins Of Raleigh	2022 VA NOVA LC Winter Invitational	2020-2024 AA
154	2:27.06	Payton Woodring		18	200 FL LCM	GA	Carpet Capital Aquatics Club	2022 SE Richard Quick Invitational	2020-2024 AA
155	2:27.12	Mia Corrado		18	200 FL LCM	NC	North Carolina Aquatic Club	2022 NC NCAC Summer Meet	2020-2024 AA
156	2:27.15	Emily Campbell		18	200 FL LCM	NC	Marlins Of Raleigh	2022 VA NOVA LC Winter Invitational	2020-2024 AA
157	2:27.18	Asha Bansal		18	200 FL LCM	AZ	Scottsdale Aquatic Club	2022 AZ SAC Cactus Classic	2020-2024 AA
157	2:27.18	Lauren Garrity		18	200 FL LCM	MN	South East Metro Sharks	2022 MN MNSI Senior State	2020-2024 AA
159	2:27.20	Sabrina Johnston		18	200 FL LCM	MR	BGC-N. Westchester Marlins	2022 CT GRYM May LCM Invite	2020-2024 AA
160	2:27.30	Claudia Rzeznik		18	200 FL LCM	IL	Patriot Aquatic Club	2022 ILOP PATRIOT-RISE OPEN	2020-2024 AA
161	2:27.49	Taylor Bernosky		18	200 FL LCM	AZ	Scottsdale Aquatic Club	2022 OR Speedo Sectionals - Mt Hood	2020-2024 AA
162	2:27.52	Elizabeth Sikes		18	200 FL LCM	FG	Boca Raton Swim Team	2022 Futures - Cary	2020-2024 AA
163	2:27.60	Bethany Rahn		18	200 FL LCM	FL	Sarasota Sharks	2022 FL Shark Open	2020-2024 AA
