Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	2:08.07	Tess Howley		17	200 FL LCM	MR	Long Island Aquatic Club	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
2	2:10.25	Lucy Bell		17	200 FL LCM	CO	Fort Collins Area Swim Team	2022 TYR Pro Swim Series - West	2023 Summer Nationals (LCM)
3	2:10.47	Hannah Bellard		17	200 FL LCM	MI	Club Wolverine	2022 IN Spring Speedo Sectionals	2023 Summer Nationals (LCM)
4	2:11.02	Kiley Wilhelm	Yes	17	200 FL LCM	US	Unattached	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
5	2:12.41	Hana Shimizu-Bowers		17	200 FL LCM	MR	Badger Swim Club,Inc.	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
6	2:12.92	Campbell Stoll		17	200 FL LCM	WI	Elmbrook Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
7	2:12.94	Lilly Derivaux		17	200 FL LCM	MA	Jersey Wahoos	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
8	2:13.04	Eleanor Sun		17	200 FL LCM	PV	Nation's Capital Swim Club	2022 IN NCSA Summer Swimming Championship	2023 Summer Nationals (LCM)
9	2:13.18	Edie Simecek		17	200 FL LCM	CO	Flatiron Athletic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
10	2:13.55	Abby O'Sullivan		17	200 FL LCM	CA	Mission Viejo Nadadores	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
11	2:13.74	Emily Roden		17	200 FL LCM	MI	Novi Sturgeons	2022 IN NCSA Summer Swimming Championships2	2023 Summer Nationals (LCM)
12	2:13.76	Caroline Bricker		17	200 FL LCM	CO	Unattached	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
13	2:13.82	Katie Forrester	Yes	17	200 FL LCM	NE	Bluefish Swim Club	2021 Toyota US Open Championship	2022 Summer Nationals (LCM)
14	2:13.95	Maggie Schalow		17	200 FL LCM	CA	Irvine Novaquatics	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
15	2:14.19	Katie Walker		17	200 FL LCM	NT	Mansfield Aquatic Club	2022 Futures Championships - C	2023 Summer Nationals (LCM)
16	2:15.05	Cavan Gormsen		17	200 FL LCM	MR	Long Island Aquatic Club	2022 MR TYR Senior LC Championships	2022 Winter US Open (LCM)
17	2:15.16	Samantha Banos	Yes	17	200 FL LCM	CA	Seal Beach Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
18	2:15.19	Paige Kuwata		17	200 FL LCM	CA	Sandpipers Of Nevada	2022 Futures - Santa Clara	2022 Winter US Open (LCM)
19	2:15.45	Kailee Chow		17	200 FL LCM	CA	FAST Swim Team	2022 TT Speedo Junior National Ch	2022 Winter US Open (LCM)
20	2:15.80	Erin Gemmell		17	200 FL LCM	PV	Nation's Capital Swim Club	2022 PV LC Open Championships	2022 Winter US Open (LCM)
21	2:15.86	Ava Whitaker		17	200 FL LCM	NT	Rockwall Aquatic Center of Excellence	2022 Futures Championships - C	2022 Winter US Open (LCM)
22	2:16.06	Katie White		17	200 FL LCM	NE	Bluefish Swim Club	2022 WI Central Zone Section 1	2022 Winter US Open (LCM)
23	2:16.22	Michaela Mattes		17	200 FL LCM	FL	Sarasota Sharks	2022 Futures - Cary	2022 Winter US Open (LCM)
23	2:16.22	Lainy Kruger		17	200 FL LCM	OHO	Northern KY Clippers Swimming	2022 OH CLPR DAVID WEBB	2022 Winter US Open (LCM)
25	2:16.35	Katie McCarthy		17	200 FL LCM	MN	Edina Swim Club	2022 MN USAS Speedo Meet	2022 Winter US Open (LCM)
26	2:16.45	Lizzy Washburn		17	200 FL LCM	NJ	Summit Area YMCA	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
27	2:16.58	Aislin Farris		17	200 FL LCM	NE	Bluefish Swim Club	2022 NC SwimMAC Martha McKee Meet	2022 Summer Juniors (LCM)
28	2:16.63	Grace Rainey		17	200 FL LCM	NC	SwimMAC Carolina	2022 NC SwimMAC Martha McKee Meet	2022 Summer Juniors (LCM)
29	2:16.66	Zoe Dixon		17	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA NOVA LC Winter Invitational	2022 Summer Juniors (LCM)
30	2:16.67	Taylor Bloom		17	200 FL LCM	NC	TAC Titans	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
31	2:16.81	Ava Topolewski		17	200 FL LCM	NT	Mansfield Aquatic Club	2022 GU Texas Senior Circuit 3	2023 Summer Juniors (LCM)
32	2:17.01	Summer Cardwell		17	200 FL LCM	FL	Tampa Bay Aquatic Club	2022 NC Futures Championships Cary	2022 Winter Juniors (SCY)
33	2:17.10	Katie Yee		17	200 FL LCM	MR	Long Island Aquatic Club	2022 MR TYR Senior LC Championships	2022 Winter Juniors (SCY)
34	2:17.11	Bella Lojewski		17	200 FL LCM	FL	Blue Dolfins	2022 FL SZ South Sectionals Championships	2022 Winter Juniors (SCY)
35	2:17.47	Camila Pierce		17	200 FL LCM	NC	Raleigh Swimming Association	2022 NC LC SR CHAMPS	2022 Winter Juniors (SCY)
36	2:17.61	Sumner Chmielewski		17	200 FL LCM	FL	Sarasota Tsunami Swim Team	2022 FL SZ South Sectionals Championships	2022 Winter Juniors (SCY)
37	2:17.63	Charlotte Sevin		17	200 FL LCM	PC	Crow Canyon Country Club Sharks	2022 SN Summer CA-NV Sectional-CC	2022 Winter Juniors (SCY)
38	2:17.87	Anna Phelps		17	200 FL LCM	MA	South Jersey Aquatic Club	2022 LE Futures Championships Geneva	2022 Winter Juniors (SCY)
39	2:18.01	Angela Quan		17	200 FL LCM	PC	Santa Clara Swim Club	2022 Futures - Santa Clara	2022 Winter Juniors (SCY)
