Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
86	2:11.24	Dominic Gutierrez		15	200 FL LCM	CA	Rose Bowl Aquatics	2023 CA SCS/BREA Summer Age Group Championships	2020-2024 AAA
88	2:11.34	Owen Finn		15	200 FL LCM	FL	Episcopal AmberJax	2023 FL Summer Senior Championships	2020-2024 AAA
89	2:11.35	Nathan Szobota		15	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA NOVA LC Senior Classic	2020-2024 AAA
90	2:11.36	Jacob Lin		15	200 FL LCM	CT	Bulldog Swimming	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
91	2:11.37	Lukas Biller		15	200 FL LCM	IN	Carmel Swim Club	2023 IN Senior State LCM Championships	2020-2024 AAA
92	2:11.38	Aneesh Veeravatnam		15	200 FL LCM	CA	Canyons Aquatic Club	2023 CA SCS/CITI Summer Age Group Championships	2020-2024 AAA
93	2:11.39	Logan Divine		15	200 FL LCM	CA	Canyons Aquatic Club	2023 CA SCS/CITI Summer Age Group Championships	2020-2024 AAA
94	2:11.41	Tenzin Wangpo		15	200 FL LCM	OR	Lake Oswego Swim Club	2023 AZ SAC Cactus Classic	2020-2024 AAA
95	2:11.51	Chetan Raghavan		15	200 FL LCM	PC	Albany Armada Aquatics, LLC	2023 SN CA/NV Speedo Sectionals - Roseville	2020-2024 AAA
96	2:11.52	Ryan Smith		15	200 FL LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA LC Senior Champs	2020-2024 AAA
97	2:11.59	James Widner		15	200 FL LCM	GA	Stingrays	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
98	2:11.68	Tommy Tuescher		15	200 FL LCM	NC	TAC Titans	2023 Futures - Ocala	2020-2024 AAA
99	2:11.70	Kelvin Teng		15	200 FL LCM	MI	OLY Swimming	2023 IN NCSA Summer Swimming Championships	2020-2024 AAA
100	2:11.73	Grady Gospodarek		15	200 FL LCM	NC	New Wave Swim Team	2023 FL Last Splash Invitational	2020-2024 AAA
100	2:11.73	Clem Camacho		15	200 FL LCM	NC	TAC Titans	2023 NC TAC Titans Triangle Classic	2020-2024 AAA
102	2:11.76	Landon Schemel		15	200 FL LCM	FL	Sarasota Sharks	2023 FL Summer Senior Championships	2020-2024 AAA
103	2:11.81	Brandon Calderone		15	200 FL LCM	NJ	Fanwood-Scotch Plains YMCA	2023 NC YMCA Long Course Nationals	2020-2024 AAA
104	2:11.82	Grant Lilly		15	200 FL LCM	ST	Alamo Area Aquatic Association	2023 ST TXLA Speedo SZ LC Sectional Championships	2020-2024 AAA
105	2:11.83	Patrick Curran		15	200 FL LCM	MN	Riptide	2023 IA Speedo Section Summer Champs CZ North	2020-2024 AAA
106	2:11.86	Tyler Ortiz		15	200 FL LCM	PC	Livermore Aqua Cowboys	2023 SN CA/NV Speedo Sectionals - Roseville	2020-2024 AAA
107	2:11.98	Alex Vail		15	200 FL LCM	OR	Lake Oswego Swim Club	2023 CC Arena Western Zone Senior Championships	2020-2024 AAA
