Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	3:51.77	Luke Whitlock		17	400 FR LCM	IN	Fishers Area Swimming Tigers	2023 Speedo Junior National Championships	2024 Olympic Trials
2	3:53.11	Henry McFadden		17	400 FR LCM	MA	Jersey Wahoos	2023 Phillips 66 National Championships	2024 Olympic Trials
3	3:53.35	Cooper Lucas		17	400 FR LCM	NT	Lakeside Aquatic Club	2023 Phillips 66 National Championships	2024 Olympic Trials
4	3:54.79	Gregg Enoch		17	400 FR LCM	IN	Carmel Swim Club	2023 Phillips 66 National Championships	2024 Olympic Trials
5	3:55.26	Matt Marsteiner		17	400 FR LCM	NC	New Wave Swim Team	2023 Speedo Junior National Championships	2024 Olympic Trials
6	3:56.61	Dillon Wright		17	400 FR LCM	CA	Sandpipers Of Nevada	2023 Phillips 66 National Championships	2024 Summer Nationals (LCM)
7	3:56.77	Conner Boatright		17	400 FR LCM	AR	Razorback Aquatic Club Aquahawgs	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
8	3:57.58	Miles Cratsenberg		17	400 FR LCM	PN	Bellingham Bay Swim Team	2023 Speedo Junior National Championships	2024 Summer Nationals (LCM)
9	3:57.90	Jacob Pins		17	400 FR LCM	IA	Des Moines Swimming Federation	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
10	3:58.07	William Savarese		17	400 FR LCM	NT	COR Swimming	2023 IN NCSA Summer Swimming Championships	2023 Winter US Open (LCM)
11	3:58.20	Amadeusz Knop		17	400 FR LCM	FL	Sarasota Sharks	2022 Toyota US Open	2023 Winter US Open (LCM)
12	3:58.34	Max Hatcher		17	400 FR LCM	NT	Lakeside Aquatic Club	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
13	3:58.35	Lukas Vetkoetter		17	400 FR LCM	NT	Texas Ford Aquatics	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
14	3:58.37	Victor Polo	Yes	17	400 FR LCM	CA	TSM Aquatics	2023 SPA España Absoluto de verano Open	2023 Winter US Open (LCM)
15	3:58.80	Saadeddin Saadeddin		17	400 FR LCM	NJ	Scarlet Aquatics	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
16	3:59.25	Jones Lambert		17	400 FR LCM	WT	Lubbock Swim Club	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
17	3:59.45	Luke Brennan		17	400 FR LCM	NJ	Peddie Aquatic Association	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
18	3:59.46	Patrick Branon		17	400 FR LCM	MD	North Baltimore Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
19	3:59.63	Raphael Sibuet	Yes	17	400 FR LCM	NE	Unattached	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
20	3:59.87	Cooper McDonald		17	400 FR LCM	GA	Dynamo Swim Club	2023 Futures - Ocala	2024 Summer Juniors (LCM)
21	3:59.94	Sean Atkinson		17	400 FR LCM	MR	Long Island Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
22	4:00.01	Gian Santos	Yes	17	400 FR LCM	CA	Irvine Novaquatics	2023 CA SCS/BREA Summer Age Group Championships	2024 Summer Juniors (LCM)
23	4:00.06	Adam Kiss		17	400 FR LCM	NJ	Scarlet Aquatics	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
24	4:00.15	Jack Haywood		17	400 FR LCM	NC	SwimMAC Carolina	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
25	4:00.16	Brady Begin		17	400 FR LCM	PV	Rockville Montgomery Swim Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Summer Juniors (LCM)
26	4:00.18	FREDERICK KLEIN		17	400 FR LCM	NC	SwimMAC Carolina	2023 Phillips 66 National Championships - Time Trials	2023 Summer Juniors (LCM)
27	4:00.22	Andrew Jin	Yes	17	400 FR LCM	PN	Bellevue Club Swim Team	2023 PN Senior Long Course Champs	2024 Summer Juniors (LCM)
28	4:00.32	Luke Corey		17	400 FR LCM	MD	Naval Academy Aquatic Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2024 Summer Juniors (LCM)
28	4:00.32	Brandon Richter		17	400 FR LCM	MD	Eagle Swim Team Inc.	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
30	4:00.33	David King		17	400 FR LCM	VA	Cavalier Aquatics/Piedmont Family YMCA	2023 Phillips 66 National Championships	2023 Summer Juniors (LCM)
31	4:00.54	Charlie Franz		17	400 FR LCM	SN	Sierra Marlins Swim Team	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
