Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	52.50	Carl Bloebaum		18	100 FL LCM	OHO	Mason Manta Rays	2022 OH Tim Meyers LC Senior Champs	2023 Summer Nationals (LCM)
2	53.37	Kamal Muhammad		18	100 FL LCM	GA	Spartan Aquatic Club	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
3	53.68	Conor McKenna		18	100 FL LCM	NT	Lakeside Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
4	53.76	Finn Brooks		18	100 FL LCM	US	Unattached	2022 IN Spring Speedo Sectionals	2022 Summer Nationals (LCM)
5	53.80	Martin Espernberger	Yes	18	100 FL LCM	FL	Bolles School Sharks	2022 TYR Pro Swim Series - San	2022 Summer Nationals (LCM)
6	53.96	Will Modglin		18	100 FL LCM	IN	Zionsville Swim Club	2022 IN Senior LCM Championships	2022 Summer Nationals (LCM)
6	53.96	Brady Samuels		18	100 FL LCM	IN	Unattached	2021 Toyota US Open Championship	2022 Summer Nationals (LCM)
8	54.02	Sebastian Smith		18	100 FL LCM	MR	Patriot Swim Team	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
9	54.09	Connor Foote		18	100 FL LCM	ST	Unattached	2022 TYR Pro Swim Series - San	2022 Summer Nationals (LCM)
10	54.33	Tate Bacon		18	100 FL LCM	NC	TAC Titans	2022 NC TAC TITANS Closeout Meet	2022 Winter US Open (LCM)
11	54.36	Caden Davis		18	100 FL LCM	MI	Michigan Lakeshore Aquatics	2022 MN USAS Speedo Meet	2022 Summer Nationals (LCM)
12	54.44	Sebastien Sergile		18	100 FL LCM	GA	SwimAtlanta	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
13	54.46	Owen McDonald		18	100 FL LCM	GA	Dynamo Swim Club	2022 GA Speedo Atlanta Classic	2022 Winter US Open (LCM)
