Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:46.92	Luke Hobson		18	200 FR LCM	US	Unattached	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
2	1:47.80	Patrick Sammon		18	200 FR LCM	AZ	Sun Devil Swimming	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
3	1:48.45	Michael Cotter		18	200 FR LCM	NC	TAC Titans	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
4	1:48.97	Rex Maurer		18	200 FR LCM	CA	Rose Bowl Aquatics	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
5	1:49.17	Alec Enyeart		18	200 FR LCM	MV	Tsunami Swim Team of K.C.	2022 IN NCSA Summer Swimming Championship	2023 Summer Nationals (LCM)
6	1:50.05	Sebastien Sergile		18	200 FR LCM	GA	SwimAtlanta	2022 Phillips 66 Summer Nationals	2023 Summer Nationals (LCM)
7	1:50.69	Owen McDonald		18	200 FR LCM	GA	Dynamo Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
8	1:51.07r	Manning Haskal		18	200 FR LCM	ST	Longhorn Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
9	1:51.18	Sam Hoover		18	200 FR LCM	NC	NC State University	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
10	1:51.43	Andrew Garon		18	200 FR LCM	GU	South Shore Sails	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
11	1:51.46	Truman Armstrong		18	200 FR LCM	ST	Longhorn Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
12	1:51.51	Andres Dupont Cabrera	Yes	18	200 FR LCM	FL	Bolles School Sharks	2022 TYR Pro Swim Series - San	2022 Winter US Open (LCM)
13	1:51.60	Hayden Ghufran		18	200 FR LCM	SN	DART Swimming	2022 Futures - Santa Clara	2022 Winter US Open (LCM)
14	1:51.64	Nick Caruso		18	200 FR LCM	FL	Gator Swim Club	2022 GA Bulldog Summer Invite	2022 Winter US Open (LCM)
15	1:51.69	Sage Sungail		18	200 FR LCM	NT	Unattached	2022-NT American Long Course Meet	2022 Winter US Open (LCM)
16	1:51.75r	Yoav Romano	Yes	18	200 FR LCM	NC	Unattached	European Junior Swimming Championships	2022 Winter US Open (LCM)
17	1:51.90	Chris Kopac		18	200 FR LCM	PV	Nation's Capital Swim Club	2022 PV LC Open Championships	2022 Winter US Open (LCM)
18	1:51.95	Jack Luken		18	200 FR LCM	AZ	Gold Medal Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
19	1:52.07	Gio Linscheer		18	200 FR LCM	NT	COR Swimming	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
20	1:52.08	Baylor Nelson		18	200 FR LCM	NC	SwimMAC Carolina	2022 NC SwimMAC Martha McKee Meet	2022 Winter US Open (LCM)
20	1:52.08	Roman Valdez		18	200 FR LCM	GA	Carpet Capital Aquatics Club	2022 GA LC Senior State Championship	2022 Winter US Open (LCM)
22	1:52.09	Sean Sullivan		18	200 FR LCM	IN	Carmel Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
23	1:52.37	Ben Louis		18	200 FR LCM	IL	Hinsdale Swim Club	2022 MN USAS Speedo Meet	2022 Winter US Open (LCM)
