Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	15:17.92	Luke Ellis		16	1500 FR LCM	CA	Sandpipers Of Nevada	2023 Phillips 66 National Championships	2024 Olympic Trials
2	15:25.06	Sean Green		16	1500 FR LCM	MR	Long Island Aquatic Club	2023 Phillips 66 National Championships	2024 Olympic Trials
3	15:29.82	William Mulgrew		16	1500 FR LCM	NE	Crimson Aquatics	2023 Speedo Junior National Championships	2024 Olympic Trials
4	15:29.87	Nathan Szobota		16	1500 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 Speedo Junior National Championships	2024 Olympic Trials
5	15:37.44	Bucky Gettys		16	1500 FR LCM	ST	Texas Gold	2023 Speedo Junior National Championships	2024 Olympic Trials
6	15:39.86	Ryan Erisman		16	1500 FR LCM	FL	Laker Swim	2023 Futures - Ocala	2024 Olympic Trials
7	15:45.66	Jiarui Xue		16	1500 FR LCM	MN	Aquajets Swim Team	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
8	15:46.38	Luke Whitlock		16	1500 FR LCM	IN	Fishers Area Swimming Tigers	2023 TYR PSS Knoxville	2023 Winter US Open (LCM)
9	15:46.50	Max Carlsen		16	1500 FR LCM	CA	Las Vegas Swim Club	2023 Futures - Sacramento, CA	2023 Winter US Open (LCM)
10	15:47.16	Bryce Rohr		16	1500 FR LCM	PV	Nation's Capital Swim Club	2022 Toyota US Open	2023 Winter US Open (LCM)
11	15:47.49	Jacob Pins		16	1500 FR LCM	IA	Des Moines Swimming Federation	2023 FL ISCA International Senior Cup	2023 Winter US Open (LCM)
12	15:48.72	William Siegel		16	1500 FR LCM	MR	Long Island Aquatic Club	2023 Speedo Junior National Championships	2023 Winter US Open (LCM)
13	15:48.88	Mac Clark		16	1500 FR LCM	AM	Team Pittsburgh Elite Aquatics	2023 WV WV LC State Championships	2023 Winter US Open (LCM)
14	15:49.06	Norvin Clontz		16	1500 FR LCM	NC	SwimMAC Carolina	2023 TYR Pro Swim Series Ft. Lauderdale	2023 Winter US Open (LCM)
15	15:55.79	Alex Parent		16	1500 FR LCM	NE	Bluefish Swim Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
16	15:55.98	Clay Baumann		16	1500 FR LCM	KY	Lakeside Swim Team	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
17	15:58.10	Conner Boatright		16	1500 FR LCM	AR	Razorback Aquatic Club Aquahawgs	2023 MV CSC Region VIII Sectional Championships	2023 Summer Juniors (LCM)
18	15:58.96	Michael McCarthy		16	1500 FR LCM	MA	Greater Philadelphia Aquatic Club	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
19	16:01.74	Julien Rousseau		16	1500 FR LCM	SI	Pacific Swim	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
20	16:01.84	Jonny Hines		16	1500 FR LCM	IN	Fishers Area Swimming Tigers	2023 Speedo Junior National Championships	2024 Summer Juniors (LCM)
21	16:01.91	Stephen Zhukov		16	1500 FR LCM	SE	Tennessee Aquatics	2023 WV 23023 Summer Senior Showdown	2024 Summer Juniors (LCM)
22	16:01.96	Max Marcus		16	1500 FR LCM	OZ	CSP Tideriders	2023 IN NCSA Summer Swimming Championships	2024 Summer Juniors (LCM)
23	16:02.34	Aidan Siers		16	1500 FR LCM	FL	Sarasota Sharks	2023 TYR Pro Swim Series Ft. Lauderdale	2023 Summer Juniors (LCM)
24	16:02.55	Brody Singley		16	1500 FR LCM	FL	Episcopal AmberJax	2023 FL BSS TYR June Classic	2023 Summer Juniors (LCM)
25	16:02.60	Luke Brennan		16	1500 FR LCM	NJ	Peddie Aquatic Association	2023 TYR Pro Swim Series Mission Viejo	2023 Summer Juniors (LCM)
26	16:07.02	Gherman Prudnikau		16	1500 FR LCM	CO	Mission Aurora Colorado Swimming	2023 Futures Championships - San Antonio, TX - Cap Reached	2023 Winter Juniors (SCY)
27	16:07.06	Jackson Scheiber		16	1500 FR LCM	NC	New Wave Swim Team	2023 NC SwimMAC Martha McKee Open	2023 Winter Juniors (SCY)
28	16:08.34	Alex Nguyen		16	1500 FR LCM	PV	Rockville Montgomery Swim Club	2023 IN NCSA Summer Swimming Championships	2023 Winter Juniors (SCY)
29	16:08.83	Hudson Evans		16	1500 FR LCM	GA	Dynamo Swim Club	2023 Futures - Ocala	2023 Winter Juniors (SCY)
30	16:10.15	Landon Egeland		16	1500 FR LCM	OR	Bend Swim Club	2023 Futures - Sacramento, CA	2023 Winter Juniors (SCY)
31	16:12.24	Caleb Manning		16	1500 FR LCM	OHO	Dayton Raiders	2023 Futures Championships - Richmond, VA - CAP REACHED	2023 Winter Juniors (SCY)
32	16:12.64	Owen Miao		16	1500 FR LCM	MR	Long Island Aquatic Club	2023 MR TYR Senior Mets LCM Championship	2023 Winter Juniors (SCY)
33	16:12.76	Cooper McDonald		16	1500 FR LCM	GA	Dynamo Swim Club	2023 GA Speedo Atlanta Classic	2023 Winter Juniors (SCY)
