Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:58.10	Carl Bloebaum		18	200 FL LCM	OHO	Mason Manta Rays	2022 OH Tim Meyers LC Senior Champs	2023 Summer Nationals (LCM)
2	1:58.69	Edward Platonov		18	200 FL LCM	CT	Unattached	Stevens v Drew Dual Meet	2022 Summer Nationals (LCM)
3	1:59.21	Evan VanBrocklin		18	200 FL LCM	UT	Olympus Aquatics	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
4	1:59.27	Conor McKenna		18	200 FL LCM	NT	Lakeside Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
5	1:59.28	Martin Espernberger	Yes	18	200 FL LCM	FL	Bolles School Sharks	2022 TYR Pro Swim Series - San	2022 Summer Nationals (LCM)
6	1:59.39	Owen McDonald		18	200 FL LCM	GA	Dynamo Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
7	1:59.69	Tommy Bried		18	200 FL LCM	KY	Unattached	2022 Phillips 66 International Team Trials	2022 Summer Nationals (LCM)
8	1:59.84	Josh Zuchowski		18	200 FL LCM	FG	Flood Aquatics Swim Team	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
9	2:00.75	Caleb Ellis		18	200 FL LCM	MV	Empire KC Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
10	2:00.80	Gibson Holmes		18	200 FL LCM	OHO	Mason Manta Rays	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
11	2:01.00	Tona Zinn		18	200 FL LCM	CA	SOCAL Aquatics Association	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
12	2:01.49	Jacob Pishko		18	200 FL LCM	NT	Lakeside Aquatic Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
13	2:01.88	Ryan Branon		18	200 FL LCM	MD	North Baltimore Aquatic Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
14	2:02.04	Mason Edmund		18	200 FL LCM	OHO	Unattached	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
15	2:02.22	Sebastien Sergile		18	200 FL LCM	GA	SwimAtlanta	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
16	2:02.26	Haakon Naughton		18	200 FL LCM	MN	Riptide	2022 MN MNSI Senior State	2022 Winter US Open (LCM)
17	2:02.36	Griffin O'Leary		18	200 FL LCM	IL	Barrington Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
18	2:02.45	Jackson Lustig		18	200 FL LCM	WI	Schroeder YMCA Swim Team	2022 Phillips 66 Summer Nationals	2022 Winter US Open (LCM)
19	2:02.56	Gage Hulbert		18	200 FL LCM	FL	Bolles School Sharks	2022 NC Futures Championships Cary	2022 Winter US Open (LCM)
20	2:02.88	Logan Zucker		18	200 FL LCM	NC	SwimMAC Carolina	2021 Toyota US Open Championship	2022 Winter US Open (LCM)
21	2:02.92	Hayden Ghufran		18	200 FL LCM	SN	DART Swimming	2022 SN Summer Sanders LCM SR+	2022 Winter US Open (LCM)
22	2:02.95	Sammy Sierra		18	200 FL LCM	IN	Irish Aquatics	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
23	2:02.97	Drew Reiter		18	200 FL LCM	IN	Indiana Swim Club	2022 IN Senior LCM Championships	2022 Winter US Open (LCM)
24	2:03.38	Ryan Merani		18	200 FL LCM	MD	North Baltimore Aquatic Club	2022 MD NBAC Mid-Summer Classic	2022 Winter US Open (LCM)
25	2:03.49	Archie Minto Minto	Yes	18	200 FL LCM	NI	Unattached	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Winter US Open (LCM)
26	2:03.62	Liam Custer		18	200 FL LCM	FL	Sarasota Sharks	European Junior Swimming Championships	2022 Winter US Open (LCM)
