Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	58.33	Alex Shackell		15	100 FL LCM	IN	Carmel Swim Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
2	59.28	Summer McIntosh	Yes	15	100 FL LCM	FL	Unattached	2022 FL SZ South Sectionals Championships	2023 Summer Nationals (LCM)
3	59.69	Ella Jablonski		15	100 FL LCM	PN	Seattle Metropolitan Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
4	59.81	Erika Pelaez		15	100 FL LCM	FG	Eagle Aquatics	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
5	1:00.60	Annie Jia		15	100 FL LCM	MA	Upper Dublin Aquatic Club	2022 MA Swimming Meet	2022 Summer Nationals (LCM)
6	1:01.41	Samantha Chan		15	100 FL LCM	SE	Huntsville Swim Association	2022 IN NCSA Summer Swimming Championship	2022 Winter US Open (LCM)
7	1:01.51	Eloise Williamson		15	100 FL LCM	NT	COR Swimming	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
8	1:01.54	Levenia Sim	Yes	15	100 FL LCM	SE	TNT Swimming	2022 Phillips 66 International Team Trials	2022 Winter US Open (LCM)
9	1:01.58	Teagan O'Dell		15	100 FL LCM	CA	Irvine Novaquatics	2022 CA Speedo Grand Challenge	2022 Winter US Open (LCM)
10	1:01.61	Davina Huang		15	100 FL LCM	PC	Santa Clara Swim Club	2022 PC SCSC Futures West	2022 Winter US Open (LCM)
11	1:01.72	Applejean Gwinn	Yes	15	100 FL LCM	CA	Unattached	2022 SN Finals - Western Zone Senior Ch	2022 Winter US Open (LCM)
12	1:01.99	Charlotte Wilson		15	100 FL LCM	CO	Univ of Denver Hilltoppers	2022 PC SCSC George Haines International	2022 Winter US Open (LCM)
13	1:02.04	Jade Garstang	Yes	15	100 FL LCM	UT	Wasatch Front Fish Market	2022 FL RAFC Last Splash Invitational	2022 Winter US Open (LCM)
14	1:02.06	Amelia Mason		15	100 FL LCM	CO	Flatiron Athletic Club	2022 TT Speedo Junior National Ch	2022 Winter US Open (LCM)
15	1:02.10	Montse Spielmann	Yes	15	100 FL LCM	ST	Alamo Area Aquatic Association	2022 ST TXLA Speedo Southern Sectionals	2023 Summer Juniors (LCM)
16	1:02.29	Miller Ward		15	100 FL LCM	CT	Chelsea Piers Aquatic Club	2022 IN NCSA Summer Swimming Championships	2023 Summer Juniors (LCM)
17	1:02.31	Jordan Ash		15	100 FL LCM	PC	North Bay Aquatics	2022 PC SCSC Futures West	2023 Summer Juniors (LCM)
18	1:02.32	Chloe Stinson		15	100 FL LCM	CA	Unattached	2022 CA MVN Fran Crippen SMOC	2022 Summer Juniors (LCM)
19	1:02.36	Caroline Cancelmo		15	100 FL LCM	PN	Unattached	2022 PN Senior Long Course Champs	2023 Summer Juniors (LCM)
20	1:02.38	Logan Jaffe		15	100 FL LCM	FL	PiranhasYMCA of the Suncoast	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
21	1:02.49	Lillian Nesty		15	100 FL LCM	FL	Gator Swim Club	2022 FL Summer Senior Championships	2022 Winter Juniors (SCY)
22	1:02.55	AnneMarie Vlaic		15	100 FL LCM	OR	Lake Oswego Swim Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
23	1:02.57	Becky Rentz		15	100 FL LCM	IL	Academy Bullets Swim Club	2022 TT Speedo Junior National Ch	2022 Winter Juniors (SCY)
24	1:02.59	Nicole Zettel		15	100 FL LCM	NC	TAC Titans	2022 NC TAC Spring Invitational	2022 Winter Juniors (SCY)
25	1:02.65	Abby Hood		15	100 FL LCM	NT	Rockwall Aquatic Center of Excellence	2022 ST TXLA Speedo Southern Sectionals	2022 Winter Juniors (SCY)
