Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
441	54.35r	Jackson Hughes		17	100 FR LCM	NC	Waves Of Wilmington,Inc.	2023 Futures - Ocala	2020-2024 AAA
441	54.35	Todd Dong		17	100 FR LCM	SE	Nashville Aquatic Club	2023 SE Southeastern Long Course Championships	2020-2024 AAA
441	54.35	Hayden Sunman		17	100 FR LCM	FL	Planet Swim Aquatics	2023 Speedo Junior National Championships Time Trials	2020-2024 AAA
446	54.36	Aldo Zepeda		17	100 FR LCM	FG	South Florida Aquatic Club	2023 FL Southern Zone South Sectional Championships	2020-2024 AAA
446	54.36	Cameron Macmillan		17	100 FR LCM	MD	Columbia Aquatics Association	2023 NI Eastern Zone Senior Championships	2020-2024 AAA
446	54.36	Chris Aristondo		17	100 FR LCM	NC	Aquatic Team Of Mecklenburg	2023 NC SwimMAC Martha McKee Open	2020-2024 AAA
446	54.36	Luuk Eggink		17	100 FR LCM	AZ	Aqua Fit Tucson	2023 AZ MAC 12th Annual Speedo Invite	2020-2024 AAA
450	54.37	Jesse Abramson		17	100 FR LCM	MR	New York Sharks Aquatics	2023 VA SRVA Time Trials - Futures	2020-2024 AAA
450	54.37	Michael Gauthier		17	100 FR LCM	CT	Cheshire Y Sea Dog Swim Club	2023 NC YMCA Long Course Nationals	2020-2024 AAA
450	54.37	Nate Finnegan		17	100 FR LCM	MW	Greater Omaha Aquatics Leopardsharks	2023 MW FAST GOAL Spring Sprint Cup	2020-2024 AAA
450	54.37	Damian Rene		17	100 FR LCM	MD	Naval Academy Aquatic Club	2023 FL ISCA International Senior Cup	2020-2024 AAA
454	54.38	Raekwon Noel	Yes	17	100 FR LCM	MA	South Jersey Aquatic Club	2023 MA GPAC Spring Derby A/BB/C	2020-2024 AAA
454	54.38	Brady Begin		17	100 FR LCM	PV	Rockville Montgomery Swim Club	2023 VA EZ LC Speedo Super Sectional	2020-2024 AAA
454	54.38	Ryan Rautenbach		17	100 FR LCM	GU	Swim Streamline at Northampton	2023 GU CFSC May Invitational	2020-2024 AAA
457	54.39	Ryan Li		17	100 FR LCM	MD	Eagle Swim Team Inc.	2023 MD Speedo Maryland Swimming Long Course Championship Meet	2020-2024 AAA
457	54.39	Griffin Craig		17	100 FR LCM	OK	Bartlesville Splash Club	2023 MV CSC Region VIII Sectional Championships	2020-2024 AAA
459	54.40	Jordan Hogue		17	100 FR LCM	MN	Mantas Swim Club	2023 MN NSAC Minnesota Senior LC State Championship	2020-2024 AAA
459	54.40	Harry Belcher		17	100 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA EZ LC Speedo Super Sectional	2020-2024 AAA
459	54.40	Wilson Tuttle		17	100 FR LCM	NC	Marlins Of Raleigh	2023 VA Virginia Commonwealth Games	2020-2024 AAA
462	54.41	Daniel Kim		17	100 FR LCM	CA	FAST Swim Team	2023 CA SCS/RAA Summer Age Group Champs	2020-2024 AAA
463	54.42	Kyle Algrim		17	100 FR LCM	IL	St Charles Swim Team	2023 IN CGAC Mid Summer Spectacular	2020-2024 AAA
463	54.42	Jake Shelton		17	100 FR LCM	WT	City Of Midland Swim Team	2023 FL ISCA International Senior Cup	2020-2024 AAA
463	54.42	Trey Mastandrea		17	100 FR LCM	CA	BLAST Sharks	2023 CA SCS/BREA Summer Age Group Championships	2020-2024 AAA
463	54.42	Luke Dauer		17	100 FR LCM	OHO	Dublin Community Swim Team	2023 OH Tim Myers Memorial LC Senior Champ	2020-2024 AAA
463	54.42	Craig Bohlman		17	100 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA NOVA LC Winter Invitational	2020-2024 AAA
468	54.43	Kell Frazier		17	100 FR LCM	CO	Highlands Ranch Aquatics	2023 CO CSI Senior LC State Championships	2020-2024 AAA
468	54.43r	Gray Attmore		17	100 FR LCM	SE	Nashville Aquatic Club	2023 SE Southeastern Long Course Championships	2020-2024 AAA
470	54.44	Joseph Gardner		17	100 FR LCM	AM	Mount Pleasant Aqua Club	2023 Futures Championships - Richmond, VA - CAP REACHED	2020-2024 AAA
470	54.44	Wiley Spinner		17	100 FR LCM	NC	Mecklenburg Swim Association	2023 SC TG Dash & Splash	2020-2024 AAA
470	54.44	Kamden Keyes		17	100 FR LCM	NI	Victor Swim Club	2023 NI STAR Niagara LSC Long Course Championships	2020-2024 AAA
470	54.44	Porawat Bunditkitsada	Yes	17	100 FR LCM	FL	Bolles School Sharks	2023 TYR PSS - Ft Lauderdale TT	2020-2024 AAA
