Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
221	1:57.07r	Michael Gorey		17	200 FR LCM	IN	Carmel Swim Club	2023 IN Senior State LCM Championships	2024 Futures (LCM)
222	1:57.11	Jake Karulf		17	200 FR LCM	OHO	Mason Manta Rays	2023 OH Tim Myers Memorial LC Senior Champ	2024 Futures (LCM)
222	1:57.11	Colin Zexter		17	200 FR LCM	MI	OLY Swimming	2023 OH Central Zone LC East Sectional	2024 Futures (LCM)
224	1:57.12	Teddy Blake		17	200 FR LCM	MA	Unattached	2023 VA EZ LC Speedo Super Sectional	2023 Futures (LCM)
224	1:57.12	Alex Ingram		17	200 FR LCM	OHO	Cincinnati Marlins	2023 OH Central Zone LC East Sectional	2023 Futures (LCM)
224	1:57.12r	William Carrico		17	200 FR LCM	NE	Phoenix Swimming	2023 ND USA Swimming Speedo Championship Series, Central Zone North Section	2023 Futures (LCM)
227	1:57.14	Stephen Russell		17	200 FR LCM	SC	South Carolina Swim Club	2023 Futures Championships - San Antonio, TX - Cap Reached	2024 Futures (LCM)
228	1:57.17r	Kyle Peck		17	200 FR LCM	VA	Stingrays Swim Team	2023 VA LC Senior Champs	2023 Futures (LCM)
229	1:57.18	Josh Toothman		17	200 FR LCM	LE	Lake Erie Silver Dolphins	2023 WV 23023 Summer Senior Showdown	2024 Futures (LCM)
230	1:57.19	Luca Simon		17	200 FR LCM	FL	Sarasota Tsunami Swim Team	2023 FL Southern Zone South Sectional Championships	2023 Futures (LCM)
231	1:57.20	Nathaniel Taft		17	200 FR LCM	CT	Weston Swimming Inc.	2023 CT LC Senior Championships	2023 Futures (LCM)
232	1:57.23	Daniel Cushing		17	200 FR LCM	GA	Chattahoochee Gold Swim Club	2023 Futures - Ocala	2024 Futures (LCM)
233	1:57.25	Aiden Hall		17	200 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2023 VA NOVA LC Winter Invitational	2023 Futures (LCM)
233	1:57.25	Tony Laurito		17	200 FR LCM	GU	South Shore Sails	2023 GU Senior Championship - TWST	2023 Futures (LCM)
235	1:57.29	Hugo Haggard		17	200 FR LCM	PV	Arlington Aquatic Club	2023 IN NCSA Summer Swimming Championships	2024 Futures (LCM)
236	1:57.30	Colin Candebat		17	200 FR LCM	LA	Crawfish Aquatics	2023 ST TXLA Speedo SZ LC Sectional Championships	2023 Futures (LCM)
236	1:57.30	Hudson Chung		17	200 FR LCM	MR	BGC-N. Westchester Marlins	2023 GA Speedo Atlanta Classic	2023 Futures (LCM)
