Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	4:18.81	Sean Green		16	400 IM LCM	MR	Long Island Aquatic Club	2024 FL NCSA Swimming Championships	2024 Olympic Trials
2	4:21.93	Gabriel Manteufel		16	400 IM LCM	CA	Sandpipers Of Nevada	2024 CA SCS/BREA Summer A/G Championships	2025 Summer Nationals (LCM)
3	4:22.02	Baylor Stanton		16	400 IM LCM	GA	Gwinnett Aquatics	2024 Olympic Trials	2025 Summer Nationals (LCM)
4	4:22.52	Ian Platts-Mills		16	400 IM LCM	NC	North Carolina Aquatic Club	2024 NC NCAC Meet on the Hill	2024 Olympic Trials
5	4:23.19	Santi Alzate		16	400 IM LCM	NC	SwimMAC Carolina	2024 GA Bulldog Grand Slam	2024 Olympic Trials
6	4:24.63	Gerhardt Hoover		16	400 IM LCM	NE	Commonwealth Swimming	2024 FL SZSS Summer Championships	2024 Olympic Trials
7	4:25.42	Tyler Bardak		16	400 IM LCM	IL	Fox Valley Swim Team	2023 Toyota US Open Championships	2024 Summer Nationals (LCM)
8	4:26.09	Noah Cakir		16	400 IM LCM	MR	Team Suffolk	2024 TYR Pro Swim Series - Westmont	2024 Summer Nationals (LCM)
9	4:27.02	Nathan Szobota		16	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 Olympic Trials	2024 Winter US Open (SCY)
10	4:28.44	Matthew Wolfle		16	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
11	4:28.80	Alex Grocholski		16	400 IM LCM	PV	Occoquan Swimming	2024 NI Eastern Zone Senior Championships	2024 Winter US Open (SCY)
12	4:29.45	Trevor Green		16	400 IM LCM	MR	Three Village Swim Club	2024 NI Eastern Zone Senior Championships	2024 Winter US Open (SCY)
13	4:29.78	Sam Hennenfent		16	400 IM LCM	MV	Tsunami Swim Team of K.C.	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
14	4:29.90	Jeremy Ting		16	400 IM LCM	PC	Crow Canyon Sharks	2024 PC CA/NV Speedo Sectionals hosted by TCA	2024 Winter US Open (SCY)
15	4:30.09	Whitaker Steward		16	400 IM LCM	MV	Tsunami Swim Team of K.C.	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
16	4:30.23	Blake Hill		16	400 IM LCM	PC	Crow Canyon Sharks	2024 PC Novato CA/NV Speedo Sectionals	2024 Winter US Open (SCY)
17	4:30.33	Cinco Perez		16	400 IM LCM	AM	Team Pittsburgh Elite Aquatics	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
18	4:30.86	Evan Gluck		16	400 IM LCM	NT	COR Swimming	2024 IN NCSA Summer Swimming Championships	2024 Winter US Open (SCY)
19	4:31.08	Liam Smith		16	400 IM LCM	MI	Greater Kalamazoo Crocs	2024 Futures Championships - Minneapolis	2024 Winter US Open (SCY)
20	4:31.13	Ian Heysen	Yes	16	400 IM LCM	FL	Blue Dolfins	2024 FL SZSS Summer Championships	2024 Winter US Open (SCY)
21	4:31.38	Cooper Dillman		16	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 FL NCSA Swimming Championships	2024 Winter US Open (SCY)
22	4:31.50	Aaron Jia		16	400 IM LCM	PV	Nation's Capital Swim Club	2024 Futures Championships - Richmond	2024 Winter US Open (SCY)
23	4:31.83	Luca Ignatescu		16	400 IM LCM	OR	Tualatin Hills Swim Club	2024 Futures Championships - Sacramento	2024 Winter US Open (SCY)
24	4:32.09	Kjell Cady		16	400 IM LCM	PN	South Snohomish Co. Dolphins	2024 WRS Speedo Sectionals -- Federal Way	2024 Winter US Open (SCY)
25	4:32.19	Strahinja Maslo	Yes	16	400 IM LCM	MR	Long Island Aquatic Club	2023 Toyota US Open Championships	2024 Winter US Open (SCY)
25	4:32.19	Aiden Hammer		16	400 IM LCM	PN	King Aquatic Club	2024 PN IST Sockeye Springtime Madness	2024 Winter US Open (SCY)
27	4:32.71	Rowan Cox		16	400 IM LCM	ST	Longhorn Aquatics	2024 ST TXLA SZ LC Sectional Champs	2024 Winter US Open (SCY)
28	4:32.79	Tristan Furlow		16	400 IM LCM	MD	North Baltimore Aquatic Club	2024 TYR Pro Swim Series - San Antonio	2024 Winter US Open (SCY)
29	4:32.99	Brady Julian		16	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 VA LC Senior Champs	2024 Winter US Open (SCY)
30	4:33.11	Andrew Maksymowski		16	400 IM LCM	CA	Irvine Novaquatics	2024 CA Los Angeles Invite	2024 Winter Juniors (SCY)
31	4:33.31	Mac Clark		16	400 IM LCM	AM	Team Pittsburgh Elite Aquatics	2024 FL ISCA International Senior Cup	2024 Winter Juniors (SCY)
32	4:33.46	Alex Townsend		16	400 IM LCM	NC	Marlins Of Raleigh	2024 Futures Championships - Richmond	2024 Winter Juniors (SCY)
33	4:33.92	Chase Knopf		16	400 IM LCM	OHO	Northern KY Clippers Swimming	2024 OH CZ Speedo Sectional East	2024 Winter Juniors (SCY)
34	4:34.02	David Kovacs		16	400 IM LCM	IN	Indiana Swim Club	2024 Central Zone East Spring Speedo Sectionals - In Section	2024 Winter Juniors (SCY)
35	4:34.16	Vito Sgroi		16	400 IM LCM	FL	Sarasota Sharks	2024 Futures Championships - Huntsville	2024 Winter Juniors (SCY)
36	4:34.18	Gideon Swan		16	400 IM LCM	GU	Swim Houston Aquatics Center	2024 TYR Pro Swim Series - San Antonio	2024 Winter Juniors (SCY)
37	4:34.25	Andrew Vet		16	400 IM LCM	CA	La Mirada Armada	2024 PC Novato CA/NV Speedo Sectionals	2024 Winter Juniors (SCY)
38	4:34.48	Kai Shinkyo	Yes	16	400 IM LCM	NE	Gator Swim Club	2024 NE BGSC LCM Senior Championship	2024 Winter Juniors (SCY)
39	4:34.55	Gavin Keogh		16	400 IM LCM	CO	Flatiron Athletic Club	2024 AZ Speedo Sectionals	2024 Winter Juniors (SCY)
40	4:35.12	Brandon Anand		16	400 IM LCM	NJ	Scarlet Aquatics	2024 Speedo Summer Championships	2024 Winter Juniors (SCY)
41	4:35.15	Aj Farner		16	400 IM LCM	MI	Birmingham 'Y' Blue Dolphins	2024 OH CZ Speedo Sectional East	2024 Winter Juniors (SCY)
42	4:35.17	JD Chen		16	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 VA LC Senior Champs	2024 Winter Juniors (SCY)
43	4:35.24	Patrick O'Hagan		16	400 IM LCM	MR	Long Island Aquatic Club	2024 FL NCSA Swimming Championships	2024 Winter Juniors (SCY)
44	4:35.28	Ethan Silver		16	400 IM LCM	MR	Long Island Aquatic Club	2024 FL NCSA Swimming Championships	2024 Winter Juniors (SCY)
44	4:35.28	Maddex Ternes		16	400 IM LCM	SC	Y-Spartaquatics Swim Club	2024 FL YMCA National Long Course Swimming Championships	2024 Winter Juniors (SCY)
46	4:35.38	Brody Blatt		16	400 IM LCM	OZ	CSP Tideriders	2024 IN NCSA Summer Swimming Championships	2024 Winter Juniors (SCY)
47	4:35.49	Ethan Zhou		16	400 IM LCM	MR	Condors Swim Club	2024 MR COND May Meters Matter Invitational	2024 Winter Juniors (SCY)
48	4:35.54	Zakary Guenther		16	400 IM LCM	OR	Corvallis Aquatic Team	2024 FL NCSA Swimming Championships	2024 Winter Juniors (SCY)
49	4:35.61	Bogdan Zverev	Yes	16	400 IM LCM	FL	Unattached	2024 FL Summer Senior Championships	2024 Winter Juniors (SCY)
