Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
153	4:39.64	Maxwell Kunisaki		17	400 IM LCM	MD	North Baltimore Aquatic Club	2024 NI Long Course Speedo Sectionals	2024 Futures (LCM)
154	4:39.84	Danzhel Tuliao		17	400 IM LCM	FL	Patriot Aquatics	2024 FL Southern Zone South Sectional Championship	2024 Futures (LCM)
155	4:39.85	Ben Bryzelak		17	400 IM LCM	AZ	Scottsdale Aquatic Club	2024 OR SPEEDO SECTIONALS - MT HOOD	2025 Futures (LCM)
156	4:40.02	Tyler Barritt		17	400 IM LCM	NC	North Carolina Aquatic Club	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
157	4:40.15	Peter Shih		17	400 IM LCM	AZ	Phoenix Swim Club	2024 AZ Speedo Sectionals	2024 Futures (LCM)
158	4:40.20	Kyle Algrim		17	400 IM LCM	IL	St Charles Swim Team	2024 TYR Pro Swim Series - Westmont	2024 Futures (LCM)
159	4:40.25	Cody Miles		17	400 IM LCM	GA	Stingrays	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
160	4:40.34	Jack Rutledge		17	400 IM LCM	NC	SwimMAC Carolina	2024 Futures Championships - Minneapolis	2025 Futures (LCM)
161	4:40.40	Dillon Spooner		17	400 IM LCM	FL	Indian River Aquatics	2024 FL Summer Senior Championships	2025 Futures (LCM)
162	4:40.41	Jackson Cummins		17	400 IM LCM	MA	Greater Philadelphia Aquatic Club	2024 MA KA Middle Atlantic Swimming Senior Long Course Championships	2025 Futures (LCM)
163	4:40.45	Owen Lindsay		17	400 IM LCM	IN	Summit City Aquatics	2024 Central Zone East Spring Speedo Sectionals - In Section	2024 Futures (LCM)
164	4:40.48	Charlie Mayr		17	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2023 NC SwimMAC LC/SC Invitational	2024 Futures (LCM)
165	4:40.52	Ryan Serbia		17	400 IM LCM	OK	King Marlin Swim Club	2024 Futures Championships - Austin	2025 Futures (LCM)
166	4:40.55	Gabe Jones		17	400 IM LCM	UT	Olympus Aquatics	2024 UT CHAT Invitational	2024 Futures (LCM)
167	4:40.63	Logan Calhoun		17	400 IM LCM	GA	Dynamo Swim Club	2024 Futures Championships - Huntsville	2025 Futures (LCM)
168	4:40.65	Brady Murdick		17	400 IM LCM	MV	Tsunami Swim Team of K.C.	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
169	4:40.68	Adam Kiss		17	400 IM LCM	NJ	Scarlet Aquatics	2024 NJ SCAR TYR LC Winter Invitational	2024 Futures (LCM)
170	4:40.70	Hunter Rytting		17	400 IM LCM	MN	Unattached	2024 IL CZ North Section Summer Championships	2025 Futures (LCM)
171	4:40.86	AJ Adams		17	400 IM LCM	IN	Fishers Area Swimming Tigers	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
172	4:41.06	Nathan Wu		17	400 IM LCM	CA	Evolution Racing Club	2024 CA SCS/NOVA June Age Group Championships	2025 Futures (LCM)
173	4:41.12	Oliver Stull		17	400 IM LCM	SC	Y-Spartaquatics Swim Club	2024 FL YMCA National Long Course Swimming Championships	2025 Futures (LCM)
173	4:41.12	Nate Thomas		17	400 IM LCM	OZ	River City Aquatics	2024 18 & Under Spring Cup - Fort Lauderdale	2024 Futures (LCM)
175	4:41.14	George Ivascu		17	400 IM LCM	IL	Chicago Wolfpack Aquatic Club	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
175	4:41.14	Ryan Strudgeon		17	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 FL NCSA Swimming Championships	2024 Futures (LCM)
177	4:41.24	Bryce Rohr		17	400 IM LCM	PV	Nation's Capital Swim Club	2023 Toyota US Open Championships - Time Trials	2024 Futures (LCM)
178	4:41.27	Spencer Ridge		17	400 IM LCM	VA	NOVA of Virginia Aquatics, Inc	2024 VA LC Senior Champs	2024 Futures (LCM)
179	4:41.32	Chase Keeler		17	400 IM LCM	PV	Rockville Montgomery Swim Club	2024 FL NCSA Swimming Championships	2024 Futures (LCM)
180	4:41.33	Jason Kellerman		17	400 IM LCM	MD	North Baltimore Aquatic Club	2024 Futures Championships - Richmond	2025 Futures (LCM)
181	4:41.37	Max Little		17	400 IM LCM	SE	Greater Pensacola Aquatic Club	2024 Futures Championships - Huntsville	2025 Futures (LCM)
181	4:41.37	Miles Smyczek		17	400 IM LCM	AZ	Tucson Ford Dealers Aquatics	2024 OR SPEEDO SECTIONALS - MT HOOD	2025 Futures (LCM)
183	4:41.46	Aiden Gerst		17	400 IM LCM	IA	Northeastern Swim Team	2024 IL CZ North Section Summer Championships	2025 Futures (LCM)
183	4:41.46	Ryder Hicks		17	400 IM LCM	OHO	Mason Manta Rays	2024 IN NCSA Summer Swimming Championships	2025 Futures (LCM)
183	4:41.46	Henry Guo		17	400 IM LCM	IL	Hinsdale Swim Club	2024 WI MAC LONG COURSE MIDWEST INVITATIONAL	2024 Futures (LCM)
186	4:41.49	Isaiah Eichel		17	400 IM LCM	BD	Southwest Aquatic Team	2024 ST TXLA SZ LC Sectional Champs	2025 Futures (LCM)
