Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	4:20.65	Anthony Dornoff		15	400 IM LCM	CA	La Mirada Armada	2024 PC Novato CA/NV Speedo Sectionals	2025 Summer Nationals (LCM)
2	4:22.77	Brayden Capen		15	400 IM LCM	IL	Academy Bullets Swim Club	2024 IN NCSA Summer Swimming Championships	2025 Summer Nationals (LCM)
3	4:25.97	Luka Mijatovic		15	400 IM LCM	PC	Pleasanton Seahawks	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
4	4:28.05	David Sammons		15	400 IM LCM	NC	SwimMAC Carolina	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
5	4:28.84	Santi Alzate		15	400 IM LCM	NC	SwimMAC Carolina	2024 TYR Pro Swim Series - Westmont	2024 Winter US Open (SCY)
6	4:28.91	Yi Zheng		15	400 IM LCM	IN	Carmel Swim Club	2024 Futures Championships - Huntsville	2024 Winter US Open (SCY)
7	4:29.17	Ellis Crisci		15	400 IM LCM	MV	Tsunami Swim Team of K.C.	2024 Speedo Summer Championships	2024 Winter US Open (SCY)
8	4:31.09	Trent Allen		15	400 IM LCM	IN	Carmel Swim Club	2024 Futures Championships - Huntsville	2024 Winter US Open (SCY)
9	4:31.61	Jackson Hartzler		15	400 IM LCM	GU	Cypress Fairbanks Swim Club	2024 Futures Championships - Austin	2024 Winter US Open (SCY)
10	4:32.03	Gerhardt Hoover		15	400 IM LCM	NE	Commonwealth Swimming	2024 AZ Speedo Sectionals	2024 Winter US Open (SCY)
11	4:33.55	Peter Vu		15	400 IM LCM	CA	Irvine Novaquatics	2024 CA Los Angeles Invite	2024 Winter Juniors (SCY)
12	4:33.58	Davis Jackson		15	400 IM LCM	NC	TAC Titans	2024 Futures Championships - Austin	2024 Winter Juniors (SCY)
13	4:33.62	Dominik Irons		15	400 IM LCM	AZ	Phoenix Swim Club	2024 CA SCS/NOVA June Age Group Championships	2024 Winter Juniors (SCY)
14	4:33.73	Daniel Branon		15	400 IM LCM	MD	North Baltimore Aquatic Club	2024 TYR Pro Swim Series - San Antonio	2024 Winter Juniors (SCY)
15	4:33.80	Allen Gyang		15	400 IM LCM	CA	Sandpipers Of Nevada	2024 CA SCS/NOVA June Age Group Championships	2024 Winter Juniors (SCY)
16	4:34.38	Reid Oconnell		15	400 IM LCM	MR	Long Island Aquatic Club	2024 IN NCSA Summer Swimming Championships	2024 Winter Juniors (SCY)
17	4:34.67	Jackson Irwin		15	400 IM LCM	FL	Sarasota Tsunami Swim Team	2024 Futures Championships - Austin	2024 Winter Juniors (SCY)
18	4:34.77	Nash King		15	400 IM LCM	OHO	Cincinnati Marlins	2024 OH CZ Speedo Sectional East	2024 Winter Juniors (SCY)
