Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	1:58.98	David Sammons		16	200 FL LCM	NC	SwimMAC Carolina	2025 Speedo Junior National Championships	2025 Winter US Open (LCM)
2	1:59.06	Ewan Dalrymple		16	200 FL LCM	SC	Columbia Swimming	2025 Speedo Junior National Championships	2025 Winter US Open (LCM)
3	1:59.83	Hayden Vicknair		16	200 FL LCM	SE	Baylor Swim Club	2025 Toyota National Championships	2025 Winter US Open (LCM)
4	2:00.68	Yi Zheng		16	200 FL LCM	IN	Carmel Swim Club	2025 Speedo Junior National Championships	2025 Winter US Open (LCM)
5	2:00.76	Boone Wilcox		16	200 FL LCM	KY	Lakeside Swim Team	2025 Toyota National Championships	2025 Winter US Open (LCM)
6	2:00.82	Daniel Branon		16	200 FL LCM	MD	North Baltimore Aquatic Club	2025 TYR Pro Swim Series - Fort Lauderdale	2025 Summer Nationals (LCM)
7	2:01.21	Shareef Elaydi		16	200 FL LCM	PC	Santa Clara Swim Club	2025 World Junior Champs	2025 Winter US Open (LCM)
8	2:02.16	Thomas McMillan		16	200 FL LCM	IL	St Charles Swim Team	2025 Speedo Junior National Championships	2025 Winter US Open (LCM)
9	2:02.21	Anthony Dornoff		16	200 FL LCM	CA	La Mirada Armada	2025 Toyota National Championships - Time Trials	2025 Winter US Open (LCM)
10	2:02.35	Luke Vatev		16	200 FL LCM	IL	Hornet Age Group Swim Club	2025 Speedo Junior National Championships	2025 Winter US Open (LCM)
11	2:02.82	Ellis Crisci		16	200 FL LCM	MV	Tsunami Swim Team of K.C.	2025 MV CSC Summer Invitational	2025 Winter US Open (LCM)
12	2:02.86	Ryan Baldwin		16	200 FL LCM	MR	Long Island Aquatic Club	2025 MR TYR Senior Met Summer Championships	2025 Winter US Open (LCM)
13	2:02.93	Max Stewart		16	200 FL LCM	CA	Irvine Novaquatics	2025 CA NOVA Speedo 29th Annual Grand Challenge	2025 Winter US Open (LCM)
14	2:03.32	Koehn Boyd		16	200 FL LCM	MN	Edina Swim Club	2025 SE NCSA Summer Swimming Championships	2025 Summer Juniors (LCM)
15	2:03.50	Alex Goodman		16	200 FL LCM	MA	Jersey Wahoos	2025 Speedo Junior National Championships	2025 Winter Juniors (SCY)
16	2:03.74	Nicolas Kokidko		16	200 FL LCM	FG	Metro Aquatic Club of Miami	2025 FG LCM Senior Championships	2025 Summer Juniors (LCM)
17	2:04.03	Nash King		16	200 FL LCM	OHO	Cincinnati Marlins	2025 OH CZ Speedo Sectional East	2025 Summer Juniors (LCM)
18	2:04.09	Parker Knapp		16	200 FL LCM	VA	Tide Swimming	2025 Speedo Junior National Championships	2025 Winter Juniors (SCY)
19	2:04.21	Aasish Dangol		16	200 FL LCM	PC	Albany Armada Aquatics, LLC	2025 Speedo Junior National Championships - Time Trials	2025 Winter Juniors (SCY)
20	2:04.31	Luka Mijatovic		16	200 FL LCM	PC	Unattached	2025 PC PLS Long Course Senior Open	2025 Summer Juniors (LCM)
20	2:04.31	Jonny Palamar		16	200 FL LCM	NC	TAC Titans	2025 Futures Championships - Greensboro	2025 Summer Juniors (LCM)
22	2:04.50	Kolby Martin		16	200 FL LCM	GU	Aggie Swim Club	2025 Futures Championships - Greensboro	2025 Summer Juniors (LCM)
23	2:04.82	Alex Barone		16	200 FL LCM	NE	Charles River Aquatics	2025 Futures Championships - Ocala	2025 Summer Juniors (LCM)
23	2:04.82	Christian Jerome	Yes	16	200 FL LCM	AD	Uncle Sam Swim Team	2025 XXXVIII Carifta Aquatic Championships - Trinidad	2025 Summer Juniors (LCM)
25	2:05.06	Aiden Yeo		16	200 FL LCM	PC	Pleasanton Seahawks	2025 CC Super League Championships	2025 Summer Juniors (LCM)
26	2:05.14	Kian Grabar		16	200 FL LCM	NE	Crimson Aquatics	2025 Futures Championships - Madison	2025 Winter Juniors (SCY)
27	2:05.16	Aidan Collins		16	200 FL LCM	SN	DART Swimming	2025 SN Summer Sanders LCM Meet	2025 Winter Juniors (SCY)
28	2:05.34	Allen Gyang		16	200 FL LCM	CA	Sandpipers Of Nevada	2025 AZ MAC Narwhal Invite	2025 Winter Juniors (SCY)
29	2:05.60	Owen Lin		16	200 FL LCM	NC	Greensboro Swimming Association	2025 Futures Championships - Greensboro	2025 Winter Juniors (SCY)
30	2:05.67	Jacob Baginski		16	200 FL LCM	PN	King Aquatic Club	2025 Futures Championships - Sacramento	2025 Winter Juniors (SCY)
31	2:05.71	Jacob Wajnberg		16	200 FL LCM	GA	Dynamo Swim Club	2025 Futures Championships - Madison	2025 Winter Juniors (SCY)
32	2:05.77	Kirk Morgan		16	200 FL LCM	PV	All Star Aquatics	2025 Futures Championships - Greensboro	2025 Winter Juniors (SCY)
32	2:05.77	Wyatt Sylvester		16	200 FL LCM	VA	757 Swim	2025 VA LC Senior Champs	2025 Winter Juniors (SCY)
34	2:05.78	William Martinez		16	200 FL LCM	GU	North Channel Aquatics	2025 FL ISCA Summer Senior Blast	2025 Winter Juniors (SCY)
35	2:05.92	Landon Hall		16	200 FL LCM	SE	Tennessee Aquatics	2025 Speedo Junior National Championships	2025 Winter Juniors (SCY)
36	2:05.95	Michael Sabo		16	200 FL LCM	VA	Hanover Aquatics, Inc	2025 VA LC Senior Champs	2025 Winter Juniors (SCY)
37	2:05.96	Jake Everitt		16	200 FL LCM	CA	Beach Cities Swimming	2025 CA SCS/RMDA June Age Group Championships	2025 Winter Juniors (SCY)
38	2:05.99	Kaden Kiefer		16	200 FL LCM	FL	Southwest Stars Swim Club	2025 Futures Championships - Ocala	2025 Winter Juniors (SCY)
39	2:06.00	Diego Lara		16	200 FL LCM	CO	Aces Swim Club	2025 CC WESTERN ZONE SENIOR CHAMPIONSHIPS	2025 Winter Juniors (SCY)
40	2:06.01	Thomas Smith		16	200 FL LCM	FL	Sporting Jax Aquatic Club	2025 Futures Championships - Greensboro	2025 Winter Juniors (SCY)
41	2:06.03	Robert White		16	200 FL LCM	PC	Santa Clara Swim Club	2025 Futures Championships - Sacramento	2025 Winter Juniors (SCY)
42	2:06.09	Carson Waters		16	200 FL LCM	GA	SwimAtlanta	2025 Futures Championships - Ocala	2025 Winter Juniors (SCY)
43	2:06.11	Evan VanVelzor		16	200 FL LCM	CT	Wilton Y Wahoos Swim Club	2025 FL YMCA National Long Course Swimming Championships	2025 Winter Juniors (SCY)
44	2:06.12	Hampton Stuecker		16	200 FL LCM	KY	Lakeside Swim Team	2025 SE NCSA Summer Swimming Championships	2025 Winter Juniors (SCY)
45	2:06.24	Harrison Tater		16	200 FL LCM	ST	Waterloo Swimming	2025 Futures Championships - Greensboro	2025 Winter Juniors (SCY)
46	2:06.26	Trent Allen		16	200 FL LCM	IN	Carmel Swim Club	2025 IN CSC vs FAST 13 & Over Session	2025 Winter Juniors (SCY)
47	2:06.27	Alex Gonzalez		16	200 FL LCM	FL	Gator Swim Club	2025 Futures Championships - Greensboro	2025 Winter Juniors (SCY)
48	2:06.36	Ethan Xu	Yes	16	200 FL LCM	MI	Birmingham 'Y' Blue Dolphins	2025 OH CZ Speedo Sectional East	2025 Winter Juniors (SCY)
49	2:06.40	Jackson Kees		16	200 FL LCM	AR	Northwest Arkansas Aquatics	2025 SE NCSA Summer Swimming Championships	AAAA
50	2:06.49	Parker Stever		16	200 FL LCM	FL	Fast Falcons	2025 Futures Championships - Ocala	AAAA
51	2:06.61	Alex Pletcher		16	200 FL LCM	SI	Sea to Desert Swim Association	2025 Futures Championships - Sacramento	AAAA
52	2:06.70	Taewon Yim		16	200 FL LCM	PC	De Anza Cupertino Aquatics	2025 PC Speedo Sectionals - Novato	2025 Futures (LCM)
53	2:06.73	Jerry Lou		16	200 FL LCM	MN	Aquajets Swim Team	2025 Futures Championships - Madison - Time Trials	AAAA
54	2:06.77	Porter Ellsworth		16	200 FL LCM	AZ	Gold Medal Swim Club	2025 SI CA/NV Speedo Summer Sectionals	2025 Futures (LCM)
55	2:06.82	Camp Hartman		16	200 FL LCM	FL	Bolles School Sharks	2025 Futures Championships - Ocala	AAAA
56	2:06.83	Gray Reiger		16	200 FL LCM	SC	YMCA of Upper Palmetto Rays	2025 FL YMCA National Long Course Swimming Championships	AAAA
56	2:06.83	Caleb Camet		16	200 FL LCM	PV	Nation's Capital Swim Club	2025 Futures Championships - Greensboro	AAAA
58	2:06.92	Brody Reber		16	200 FL LCM	MA	Lancaster Aquatic Club	2025 MA MASI LC Senior Championships CC	2025 Futures (LCM)
59	2:06.96	Alexander Jungbluth		16	200 FL LCM	PV	Rockville Montgomery Swim Club	2025 PV LC Open Championships	2025 Futures (LCM)
60	2:06.97	Gavin Halusic		16	200 FL LCM	GA	SwimAtlanta	2025 Futures Championships - Ocala	AAAA
61	2:06.99	Vaughn Muir		16	200 FL LCM	NC	Enfinity Aquatic Club	2025 NC NCS LC Senior Championships	2025 Futures (LCM)
62	2:07.02	Jamey Solt		16	200 FL LCM	MN	Aquajets Swim Team	2025 ND 2025 ND MN Senior LC State Championship	AAAA
63	2:07.06	Andrew Maksymowski		16	200 FL LCM	CA	Irvine Novaquatics	2025 CA FAST Jon Urbanchek Open Invite	2025 Futures (LCM)
64	2:07.10	Jack Miceli		16	200 FL LCM	PV	Nation's Capital Swim Club	2025 PV LC Open Championships	2025 Futures (LCM)
65	2:07.14	Ethan Wang		16	200 FL LCM	NT	Metroplex Aquatics	2025 NT MTRO American Long Course MEET FULL	AAAA
66	2:07.17	Patrick O'Connor		16	200 FL LCM	IL	Academy Bullets Swim Club	2025 SE NCSA Summer Swimming Championships	AAAA
67	2:07.38	Mason Bridges		16	200 FL LCM	IN	Center Grove Aquatic Club	2025 Futures Championships - Ocala	AAAA
68	2:07.40	Daniil Siutsou		16	200 FL LCM	FL	Sarasota Sharks	2025 Futures Championships - Ocala	AAAA
69	2:07.43	Deren Akselioglu		16	200 FL LCM	PV	Rockville Montgomery Swim Club	2025 SE NCSA Summer Swimming Championships	AAAA
69	2:07.43	Quinn Moter		16	200 FL LCM	KY	Lakeside Swim Team	2025 SE NCSA Summer Swimming Championships	AAAA
71	2:07.46	Luca Ignatescu		16	200 FL LCM	OR	Tualatin Hills Swim Club	2025 Mel Zajac Jr. International Swim Meet	2025 Futures (LCM)
71	2:07.46	Will Athanas		16	200 FL LCM	NE	Crimson Aquatics	2025 Futures Championships - Madison	AAAA
73	2:07.47	Brayden Hale		16	200 FL LCM	CT	Cheshire Y Sea Dog Swim Club	2025 FL YMCA National Long Course Swimming Championships	AAAA
74	2:07.60	Roman Torres		16	200 FL LCM	MA	York YMCA	2025 TYR Pro Swim Series - Fort Lauderdale	2025 Futures (LCM)
75	2:07.61	Andrew Vet		16	200 FL LCM	CA	Unattached	2025 CA MVN Fran Crippen Memorial Swim Meet of Champions	2025 Futures (LCM)
76	2:07.82	Hudson Rice		16	200 FL LCM	VA	Lynchburg YMCA Swim Team	2025 FL YMCA National Long Course Swimming Championships	AAAA
77	2:07.85	Marshall Smith		16	200 FL LCM	CA	TSM Aquatics	2025 CA SCS/RAA Sumer Age Group Championships	AAAA
78	2:07.89	Christopher Wang		16	200 FL LCM	PC	Pleasanton Seahawks	2025 CC Super League Championships	2025 Futures (LCM)
79	2:07.99	Andrew Clift		16	200 FL LCM	NT	Mansfield Aquatic Club	2025 SE NCSA Summer Swimming Championships	AAAA
80	2:08.13	Oleg Arlouski		16	200 FL LCM	PN	Wave Aquatics	2025 Futures Championships - Sacramento	AAAA
81	2:08.15	Ethan Meeker		16	200 FL LCM	GA	SwimAtlanta	2025 Futures Championships - Ocala	AAAA
