Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
202	2:12.39	Jacques Grove		17	200 IM LCM	PC	Livermore Aqua Cowboys	2022 SN Summer CA-NV Sectional-CC	2023 Futures (LCM)
202	2:12.39	Tate Anderson		17	200 IM LCM	NC	Raleigh Swimming Association	2022 NC STAR Long Days of Summer	2022 Futures (LCM)
204	2:12.41	Henry Lee		17	200 IM LCM	NC	TAC Titans	2022 NC TAC Spring Invitational	2022 Futures (LCM)
205	2:12.42	Jo Mende		17	200 IM LCM	AZ	Phoenix Swim Club	2022 AZ PSC Spring Invitation	2022 Futures (LCM)
206	2:12.43	John Zhang		17	200 IM LCM	MR	Queens Aquatic Club	2022 MR TYR Senior LC Championships	2022 Futures (LCM)
207	2:12.46	Tuck Valliere		17	200 IM LCM	NC	Blues Aquatics	2022 NC ESSZ Summer Sectionals	2023 Futures (LCM)
208	2:12.51	Noah Giunta		17	200 IM LCM	MR	Three Village Swim Club	2022 AM LC Eastern Zone SR Championship	2023 Futures (LCM)
209	2:12.52	McKee Thorsen		17	200 IM LCM	GA	Unattached	2022 GA LC Senior State Championship	2023 Futures (LCM)
210	2:12.55	Adam McCurdy		17	200 IM LCM	IN	Fort Wayne Swim Team	2022 IN Spring Speedo Sectionals	2022 Futures (LCM)
210	2:12.55	Ronan Krauss		17	200 IM LCM	CO	Univ of Denver Hilltoppers	2022 OR Speedo Sectionals - Mt Hood	2022 Futures (LCM)
210	2:12.55	Drew Vanden Heuvel		17	200 IM LCM	FL	Sarasota Tsunami Swim Team	2022 Futures - Cary	2023 Futures (LCM)
213	2:12.56	Owen Johanssen		17	200 IM LCM	OHO	United Swim Association	2022 Futures - Geneva	2023 Futures (LCM)
213	2:12.56	Aaron Wicklund		17	200 IM LCM	AR	Razorback Aquatic Club Aquahawgs	2022 SE Speedo Summer Sizzler	2022 Futures (LCM)
215	2:12.57	Nick Zaharescu		17	200 IM LCM	SE	Excel Aquatics	2022 IN FAST Summer Jam Invitational	2022 Futures (LCM)
216	2:12.61	Joseph Pyon		17	200 IM LCM	FL	Gator Swim Club	2022 NC Futures Championships Cary	2023 Futures (LCM)
217	2:12.70	Ian Rodgers		17	200 IM LCM	VA	Coast Guard Blue Dolphins	2022 VA LC Senior Champs	2022 Futures (LCM)
217	2:12.70	Turner Long		17	200 IM LCM	WI	Howard Suamico Storm Breakers	2022 WI 13 & O LC State Meet	2023 Futures (LCM)
219	2:12.71	Max Wolfenden		17	200 IM LCM	CT	Ridgefield Aquatic Club	2022 LE Futures Championships Geneva	2023 Futures (LCM)
220	2:12.73	Nathaniel D'Aloisio		17	200 IM LCM	CA	Lakewood Aquatics	2022 SN Finals - Western Zone Senior Ch	2023 Futures (LCM)
221	2:12.74	Paul Warnagiris		17	200 IM LCM	VA	Winchester Swim Team	2022 FL ISCA Summer Senior Blast	2023 Futures (LCM)
222	2:12.75	Bennett Lacerte		17	200 IM LCM	PC	Palo Alto Stanford Aquatics	2022 PC SCSC Super League Summer LC Finals	2023 Futures (LCM)
223	2:12.76	Andrew Seeber		17	200 IM LCM	NC	Greensboro Community YMCA	2022 FL RAFC Last Splash Invitational	2023 Futures (LCM)
224	2:12.78	Tommy Moul		17	200 IM LCM	MA	Upper Main Line YMCA	2022 NC AP LC YMCA Nationals	2023 Futures (LCM)
225	2:12.79	Ryan O'Leary		17	200 IM LCM	ST	Austin Swim Club	2022 ST TXLA Speedo Southern Sectionals	2022 Futures (LCM)
226	2:12.83	Julius Tuguinay		17	200 IM LCM	PN	Unattached	2022 PN Senior Long Course Champs	2020-2024 AAA
227	2:12.84	Aaron Gasiewicz		17	200 IM LCM	NI	STAR Swimming	2022 NJ BAC Memorial Day Invitational	2020-2024 AAA
