Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
1	8:06.79	Liam Custer		17	800 FR LCM	FL	Sarasota Sharks	2022 FL SZ South Sectionals Championships	2022 Summer Nationals (LCM)
2	8:06.90	Bobby DiNunzio		17	800 FR LCM	VA	Tide Swimming	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
3	8:08.24	Josh Parent		17	800 FR LCM	NE	Bluefish Swim Club	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
4	8:08.49	Ilya Kharun	Yes	17	800 FR LCM	CA	Sandpipers Of Nevada	2022 TYR Pro Swim Series - Mis	2022 Summer Nationals (LCM)
5	8:09.03	Levi Sandidge		17	800 FR LCM	NT	COR Swimming	2022 Phillips 66 International Team Trials	2023 Summer Nationals (LCM)
6	8:09.64	Alec Enyeart		17	800 FR LCM	MV	Tsunami Swim Team of K.C.	2022 SE Tennessee LC Invitational	2022 Summer Nationals (LCM)
7	8:10.07	Andrew Taylor		17	800 FR LCM	FL	Tampa Bay Aquatic Club	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
8	8:10.55	Cooper Lucas		17	800 FR LCM	NT	Lakeside Aquatic Club	2022 Jr Pan Pacific Swimming Championships	2023 Summer Nationals (LCM)
9	8:11.98	Rex Maurer		17	800 FR LCM	CA	Unattached	2022 TYR Pro Swim Series - West	2023 Summer Nationals (LCM)
10	8:12.45	Amadeusz Knop		17	800 FR LCM	FL	Sarasota Sharks	2022 NC Futures Championships Cary	2023 Summer Nationals (LCM)
11	8:12.95	Jack Hendrick		17	800 FR LCM	PC	Livermore Aqua Cowboys	2022 Speedo Junior National Ch	2023 Summer Nationals (LCM)
12	8:14.19	Mason Edmund		17	800 FR LCM	NT	North Texas Nadadores	2022 TYR Pro Swim Series - San	2022 Winter US Open (LCM)
13	8:17.17	Jay Freeman		17	800 FR LCM	MA	Germantown Academy Aquatic Club	2022 IN NCSA Summer Swimming Championships2	2022 Winter US Open (LCM)
14	8:18.64	Trey Hesser		17	800 FR LCM	AZ	Gold Medal Swim Club	2022 Speedo Junior National Ch	2022 Winter US Open (LCM)
15	8:19.82	Maor Goralnik	Yes	17	800 FR LCM	NC	Unattached	European Junior Swimming Championships	2022 Summer Juniors (LCM)
16	8:20.12	Connor Fry		17	800 FR LCM	GU	South Texas Aquatics	2022 Futures - College Station	2023 Summer Juniors (LCM)
17	8:20.51	Jacob Hamlin		17	800 FR LCM	FL	Highlander Aquatic Club	2022 NC Futures Championships Cary	2023 Summer Juniors (LCM)
18	8:20.69	Steven Bendoraitis		17	800 FR LCM	NJ	Scarlet Aquatics	2021 Toyota US Open Championship	2022 Summer Juniors (LCM)
19	8:22.15	Craig Bohlman		17	800 FR LCM	VA	NOVA of Virginia Aquatics, Inc	2022 VA LC Senior Champs	2023 Summer Juniors (LCM)
20	8:22.92	Matt Williamson		17	800 FR LCM	PN	Olympic Cascade Aquatics	2022 Futures - Santa Clara	2023 Summer Juniors (LCM)
21	8:22.94	Josean Massucco		17	800 FR LCM	SE	Baylor Swim Club	2022 Speedo Junior National Ch	2023 Summer Juniors (LCM)
22	8:23.39	Christopher Chang		17	800 FR LCM	NJ	Scarlet Aquatics	2022 NI EZ Speedo Sectional (LCM) Buffalo	2022 Winter Juniors (SCY)
23	8:23.75	Carson Hick		17	800 FR LCM	NM	Los Alamos Aquatomics, Inc	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
24	8:23.80	Sam Flack		17	800 FR LCM	SE	Baylor Swim Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
25	8:24.09	Raymond Prosinski		17	800 FR LCM	FL	Loggerhead Aquatics	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
26	8:24.11	Keaton Jones		17	800 FR LCM	AZ	Swim Neptune	2022 OR Speedo Sectionals - Mt Hood	2022 Winter Juniors (SCY)
27	8:25.73	Josh Bedford		17	800 FR LCM	ST	Austin Swim Club	2022 Speedo Junior National Ch	2022 Winter Juniors (SCY)
28	8:25.83	Riley Clinton		17	800 FR LCM	CA	Sandpipers Of Nevada	2022 SN Finals - Western Zone Senior Ch	2022 Winter Juniors (SCY)
